weekly_veto,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
False,829078,-0.00146,0.448,-0.00397,0.4679,0.03649,0.8095,-0.03601,0.1575
True,16633,-0.00131,0.4132,-0.00139,0.4875,0.04193,0.862,-0.03858,0.0963
