eff_bucket,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
<-2,126522,-0.00081,0.4404,-0.00421,0.4678,0.0412,0.8458,-0.0394,0.1242
-2~0,85959,0.0,0.4379,-0.00274,0.4724,0.03278,0.8481,-0.03039,0.1251
0~2,95537,-0.00059,0.4369,-0.00334,0.4666,0.03231,0.8417,-0.03153,0.126
>2,211542,-0.00173,0.4468,-0.00473,0.4659,0.03963,0.7991,-0.03941,0.1616
,326151,-0.00275,0.4558,-0.00388,0.4693,0.03568,0.7853,-0.03605,0.1825
