td_raw,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd30_med,fwd30_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos,mae3_full_med,mae3_full_pos,mfe3_full_med,mfe3_full_pos
False,745072,0.0,0.3872,0.0,0.4918,-0.00011,0.4798,-0.00109,0.4788,-0.00104,0.4834,-0.00591,0.4807,0.02733,0.9255,-0.02954,0.0,-0.02657,0.0475,0.02733,0.9255
True,121920,-0.00015,0.3869,-0.001,0.4704,-0.00193,0.4596,-0.00236,0.465,-0.00225,0.4722,-0.01132,0.467,0.03013,0.9093,-0.03352,0.0,-0.02927,0.0515,0.03011,0.9092
