sv_raw,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd30_med,fwd30_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos,mae3_full_med,mae3_full_pos,mfe3_full_med,mfe3_full_pos
False,738611,0.0,0.3835,0.0,0.4891,-0.00072,0.4752,-0.00132,0.4763,-0.0012,0.482,-0.00683,0.4783,0.02775,0.9231,-0.03014,0.0,-0.02711,0.0469,0.02775,0.9231
True,128381,0.0,0.4082,0.0,0.4867,0.0,0.4874,-0.001,0.4806,-0.00129,0.4808,-0.00563,0.481,0.02725,0.9239,-0.02967,0.0,-0.02603,0.0548,0.02725,0.9239
