td_legacy,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd30_med,fwd30_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos,mae3_full_med,mae3_full_pos,mfe3_full_med,mfe3_full_pos
False,791910,0.0,0.3883,0.0,0.4901,-0.00044,0.4785,-0.00122,0.478,-0.00121,0.4822,-0.00706,0.4776,0.02804,0.9236,-0.03036,0.0,-0.02727,0.0489,0.02804,0.9235
True,75082,0.0,0.3754,-0.00066,0.4747,-0.00142,0.4611,-0.00172,0.4654,-0.00128,0.478,-0.00225,0.4908,0.0242,0.9202,-0.02748,0.0,-0.02408,0.0389,0.02417,0.9201
