window,tier,n,fwd5_mean,fwd5_win,fwd10_mean,fwd10_win
W0 2021-12-2022-06,bull,20252,0.5912171610054102,0.5085917440252814,0.9820808933669203,0.5222200276515899
W0 2021-12-2022-06,mid,42209,-0.23900790777333192,0.4615603307351513,-1.0649014108939785,0.45348148499135255
W0 2021-12-2022-06,weak,80815,-0.824777994403076,0.43985646229041636,-1.4232010105325865,0.42196374435438966
W1 2022-06-2022-12,bull,48260,0.1508654342325787,0.46160381268130957,0.2463701012092313,0.4728553667633651
W1 2022-06-2022-12,mid,45131,-0.17634806799531907,0.46079191686423965,0.12317360795622426,0.46766080964303913
W1 2022-06-2022-12,weak,61780,0.723947834926658,0.5199579151829071,1.1002487176525133,0.5285853026869537
W2 2022-12-2023-06,bull,86563,-0.3815600523051773,0.4266950082598801,-0.45407529880403313,0.440060996037568
W2 2022-12-2023-06,mid,41474,0.5463620780071465,0.5097892655639678,0.7154724956686656,0.5048222983073732
W2 2022-12-2023-06,weak,27343,0.7617841888360743,0.5268258786526716,1.1607854162416487,0.5472698679735215
W3 2023-06-2023-12,bull,13263,-1.4861514054660625,0.2699992460227701,-3.5724941602391707,0.1822362964638468
W3 2023-06-2023-12,mid,49252,-0.4049011589238728,0.42729229269877367,-0.39391942194790075,0.4332209859498091
W3 2023-06-2023-12,weak,101124,0.4158610280418402,0.5016217712906926,0.6615392347815656,0.5063585301214351
W4 2023-12-2024-06,bull,67625,0.9515179364155639,0.5206654343807764,1.2160763729468531,0.5221737523105361
W4 2023-12-2024-06,mid,40566,-1.9004968708559544,0.37906128284770496,-2.4413099251410437,0.3524133510821871
W4 2023-12-2024-06,weak,52481,-1.6616862655062155,0.3605114231817229,-3.6520167679447946,0.3124940454640727
W5 2024-06-2024-12,bull,44874,2.415708823166854,0.5611267103445202,4.565978682009849,0.6266880599010562
W5 2024-06-2024-12,mid,23091,3.4350863240969542,0.5732103416915681,4.790900639857244,0.6864579273309948
W5 2024-06-2024-12,weak,97760,0.21284410162837278,0.43477905073649753,1.2199501715012133,0.4251227495908347
W6 2024-12-2025-06,bull,80635,-0.5095633696602633,0.42311651268059774,-1.438198201816449,0.38571339988838593
W6 2024-12-2025-06,mid,42450,-0.31900202766324254,0.48645465253239106,-0.0634472585227153,0.5083863368669023
W6 2024-12-2025-06,weak,39634,2.4250735549229248,0.6567341171721249,4.671585280432086,0.74294797396175
W7 2025-06-2025-12,bull,141422,0.7355256197026372,0.513215765581027,1.5140751769389615,0.5353551781193874
W7 2025-06-2025-12,mid,19226,0.7439051268414019,0.5152397794653074,1.5215675565041007,0.536252990741704
W7 2025-06-2025-12,weak,8246,1.604832969728776,0.613630851321853,1.9719509310005061,0.5502061605626971
W8 2025-12-2026-06,bull,88158,0.2590217239031956,0.46732003902084895,0.16318513442189922,0.45440005444769616
W8 2025-12-2026-06,mid,38607,-0.13067049272683912,0.4738259901054213,-0.7646208509895137,0.4296371124407491
W8 2025-12-2026-06,weak,35813,0.5875652425220859,0.5022198642950884,1.851495230439747,0.5566972886940497
W9 2026-06-2026-09,bull,19231,-1.8204849649070012,0.30731631220425354,-2.9844078423924185,0.29197649628204464
W9 2026-06-2026-09,mid,28889,-0.013164365386656633,0.4587559278618159,-0.18589238795596022,0.3755062480528921
W9 2026-06-2026-09,weak,56394,-0.036031035569918456,0.4404191935312267,0.4911652295216732,0.4471929637904742
