window,combo,n,fwd5_mean,fwd5_win
W7 2025-06-2025-12,baseline,93593,0.7696021817052183,0.5067045612385541
W7 2025-06-2025-12,pullback_holds,39192,0.7772833742417026,0.538247601551337
W7 2025-06-2025-12,pullback_holds+shrinking_volume_acceleration,6987,0.7722970040925706,0.5397166165736368
W7 2025-06-2025-12,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,1337,0.9510833064620342,0.5572176514584891
W7 2025-06-2025-12,pullback_holds+two_day_acceleration,3296,0.9557366934246134,0.5512742718446602
W7 2025-06-2025-12,shrinking_volume_acceleration,13140,0.8484513085045763,0.528158295281583
W7 2025-06-2025-12,shrinking_volume_acceleration+two_day_acceleration,2646,0.6064026755774699,0.5158730158730159
W7 2025-06-2025-12,two_day_acceleration,8703,0.7459120381267881,0.504308859014133
W8 2025-12-2026-06,baseline,99844,0.31501255119773425,0.4777352670165458
W8 2025-12-2026-06,pullback_holds,31915,0.1996407140676848,0.481560394798684
W8 2025-12-2026-06,pullback_holds+shrinking_volume_acceleration,5203,-0.17114268207968733,0.45858158754564676
W8 2025-12-2026-06,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,1012,-0.1618877837019344,0.4733201581027668
W8 2025-12-2026-06,pullback_holds+two_day_acceleration,2148,-0.07273814672874605,0.4585661080074488
W8 2025-12-2026-06,shrinking_volume_acceleration,12648,-0.16789802679592375,0.45872865275142316
W8 2025-12-2026-06,shrinking_volume_acceleration+two_day_acceleration,2794,0.5488616523218891,0.48854688618468145
W8 2025-12-2026-06,two_day_acceleration,7014,0.40054905044298783,0.4836042201311662
W9 2026-06-2026-09,baseline,71723,-0.40520706535534523,0.420464843913389
W9 2026-06-2026-09,pullback_holds,14429,-0.058993565931796756,0.42234389077552154
W9 2026-06-2026-09,pullback_holds+shrinking_volume_acceleration,2304,-0.09424315844156275,0.4353298611111111
W9 2026-06-2026-09,pullback_holds+shrinking_volume_acceleration+two_day_acceleration,495,-0.24021066541750646,0.397979797979798
W9 2026-06-2026-09,pullback_holds+two_day_acceleration,931,-0.18698785427282613,0.439312567132116
W9 2026-06-2026-09,shrinking_volume_acceleration,8312,-0.41920786253481934,0.42564966313763236
W9 2026-06-2026-09,shrinking_volume_acceleration+two_day_acceleration,2132,-0.6643730598791047,0.4165103189493433
W9 2026-06-2026-09,two_day_acceleration,4188,-0.500734502050961,0.4092645654250239
