window,rule,n,ret_mean,win,avg_hold
W0 2021-12-2022-06,E1_close,52325,-0.596344305107557,0.20982322025800287,7.9872527472527475
W0 2021-12-2022-06,E1_intraday,52325,-0.30543476373799816,0.16001911132345914,5.503908265647396
W0 2021-12-2022-06,E2_fixed5,52325,-0.47801918059626425,0.46050645007166746,5.0
W0 2021-12-2022-06,E3_trail8,52325,-1.4787918986238084,0.3409460105112279,12.746354515050168
W0 2021-12-2022-06,E5_combo,52325,-0.4593702951370212,0.23730530339225991,7.2597037744863835
W1 2022-06-2022-12,E1_close,59512,-0.1389722004614022,0.2302896894743917,8.346400725904019
W1 2022-06-2022-12,E1_intraday,59512,-0.09586251665472734,0.16635300443608012,5.662034547654255
W1 2022-06-2022-12,E2_fixed5,59512,0.41781777094953937,0.49558072321548596,5.0
W1 2022-06-2022-12,E3_trail8,59512,-0.08487312402488038,0.4041201774432047,14.741648743110634
W1 2022-06-2022-12,E5_combo,59512,-0.12005567595032901,0.2472778599274096,7.555803871488103
W2 2022-12-2023-06,E1_close,67009,0.15078585207358228,0.23817696130370547,8.20370398006238
W2 2022-12-2023-06,E1_intraday,67009,0.1464269543113943,0.17052933188079214,5.708710770195048
W2 2022-12-2023-06,E2_fixed5,67009,-0.016698525281316694,0.4606545389425301,5.0
W2 2022-12-2023-06,E3_trail8,67009,0.01644567752076098,0.4259875539106687,16.33759644226895
W2 2022-12-2023-06,E5_combo,67009,0.1529777581269186,0.2482054649375457,7.763375069020579
W3 2023-06-2023-12,E1_close,72789,-0.49994022293433005,0.1976809682781739,7.690461470826636
W3 2023-06-2023-12,E1_intraday,72789,-0.3786528236011814,0.1392655483658245,5.113835881795326
W3 2023-06-2023-12,E2_fixed5,72789,-0.19187947734723662,0.4398329417906552,5.0
W3 2023-06-2023-12,E3_trail8,72789,-1.0179588903379497,0.36990479330668097,16.60200030224347
W3 2023-06-2023-12,E5_combo,72789,-0.4469014019636707,0.20900136009561884,7.28373792743409
W4 2023-12-2024-06,E1_close,54325,-1.344042643005681,0.16474919466175794,7.027335480901979
W4 2023-12-2024-06,E1_intraday,54325,-0.6508991129836156,0.1301426599171652,5.0606166589967785
W4 2023-12-2024-06,E2_fixed5,54325,-0.9795570426434085,0.40504371836171194,5.0
W4 2023-12-2024-06,E3_trail8,54325,-3.037591590124921,0.2783801196502531,12.59026231017027
W4 2023-12-2024-06,E5_combo,54325,-1.251232314325222,0.18385641969627242,6.269875747814082
W5 2024-06-2024-12,E1_close,58439,2.2673483816107627,0.2630435154605657,8.652201440818631
W5 2024-06-2024-12,E1_intraday,58439,1.4938462196170847,0.1890860555450983,6.028970379369941
W5 2024-06-2024-12,E2_fixed5,58439,1.3532151411764624,0.4831020380225534,5.0
W5 2024-06-2024-12,E3_trail8,58439,3.6200270899763973,0.48657574564930955,14.045585995653587
W5 2024-06-2024-12,E5_combo,58439,1.6129454477840581,0.2786495319906227,6.856653946850562
W6 2024-12-2025-06,E1_close,65415,0.2895070204810159,0.2674310173507605,8.907223113964687
W6 2024-12-2025-06,E1_intraday,65415,0.3472664844470229,0.18729649163036,6.10228540854544
W6 2024-12-2025-06,E2_fixed5,65415,0.5215297316866931,0.5241152640831613,5.0
W6 2024-12-2025-06,E3_trail8,65415,0.6020174019115943,0.4641748834365207,15.19625468164794
W6 2024-12-2025-06,E5_combo,65415,0.32147214364689336,0.2841091492776886,8.216953298173202
W7 2025-06-2025-12,E1_close,75301,1.4685042119547027,0.2968353673921993,9.418347697905737
W7 2025-06-2025-12,E1_intraday,75301,0.8799731556329593,0.19760693749086997,6.374536858740256
W7 2025-06-2025-12,E2_fixed5,75301,0.9916636609832984,0.5444549209173849,5.0
W7 2025-06-2025-12,E3_trail8,75301,2.7540350210834386,0.5426355559687123,16.818700946866574
W7 2025-06-2025-12,E5_combo,75301,1.3925013535832769,0.30974356250249,8.642209266809205
W8 2025-12-2026-06,E1_close,62734,0.6300850492501353,0.23185194631300413,8.00704562119425
W8 2025-12-2026-06,E1_intraday,62734,0.5694851468485975,0.16002486689833265,5.572640035706316
W8 2025-12-2026-06,E2_fixed5,62734,0.1661300312150964,0.47570695316734146,5.0
W8 2025-12-2026-06,E3_trail8,62734,0.5620735534690615,0.41287021391908696,14.228982688813083
W8 2025-12-2026-06,E5_combo,62734,0.5743454711383309,0.2537220645901744,7.19526891318902
W9 2026-06-2026-09,E1_close,32544,-0.4796155131693282,0.24167281219272368,7.486694936086529
W9 2026-06-2026-09,E1_intraday,32544,-0.3514494396899805,0.17385693215339232,5.178158800393314
W9 2026-06-2026-09,E2_fixed5,32544,-0.2604119619763634,0.44979105211406095,4.790130285152409
W9 2026-06-2026-09,E3_trail8,32544,-0.6307248065853395,0.36387659783677484,11.599496066863324
W9 2026-06-2026-09,E5_combo,32544,-0.3409669034978134,0.2597406588003933,6.762567600786627
