sv_legacy,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
False,5064,0.0,0.3756,0.0,0.4779,-0.00072,0.4743,-0.00186,0.4704,-0.00306,0.4639,-0.00634,0.453,-0.01555,0.424,-0.02486,0.4002,-0.03504,0.377,-0.01665,0.0871,-0.0243,0.0669,-0.02949,0.0561,-0.03906,0.043,-0.05986,0.0306,-0.07776,0.0216,-0.09328,0.0163,0.01527,0.8468,0.023,0.8886,0.02808,0.9054,0.03741,0.9287,0.05478,0.95,0.06768,0.9569,0.07799,0.96,0.02808,0.9054,-0.03213,0.0
True,717,0.0,0.3598,-0.00278,0.431,-0.00299,0.4254,-0.00419,0.4379,-0.00595,0.4226,-0.00802,0.4351,-0.01695,0.4128,-0.02018,0.409,-0.03364,0.3772,-0.01567,0.0823,-0.02148,0.0586,-0.02672,0.0363,-0.03648,0.0237,-0.05832,0.0181,-0.07374,0.0155,-0.0876,0.0145,0.01174,0.8452,0.01814,0.8926,0.02219,0.9052,0.03077,0.9275,0.04364,0.9484,0.05769,0.9535,0.06641,0.9581,0.02219,0.9052,-0.02806,0.0
