acc_continuation,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
False,5058,0.0,0.3776,0.0,0.4727,-0.00082,0.4717,-0.00186,0.4705,-0.00371,0.4581,-0.00596,0.4557,-0.01492,0.4245,-0.02274,0.4033,-0.03459,0.3744,-0.01597,0.0856,-0.02347,0.0666,-0.02891,0.0532,-0.03813,0.0403,-0.05908,0.0293,-0.07605,0.0204,-0.09112,0.0157,0.01466,0.8541,0.02187,0.8924,0.0269,0.9089,0.03598,0.9304,0.05263,0.9508,0.06555,0.9576,0.07438,0.9609,0.0269,0.9089,-0.03164,0.0
True,723,-0.00134,0.3458,0.0,0.4675,-0.00372,0.444,-0.00339,0.4371,-0.00167,0.4633,-0.00942,0.4163,-0.02136,0.4094,-0.03241,0.3869,-0.03854,0.3952,-0.02007,0.0927,-0.02694,0.0609,-0.03046,0.0567,-0.04128,0.0429,-0.06202,0.0277,-0.08598,0.0237,-0.10141,0.0184,0.01484,0.7939,0.02482,0.8658,0.02946,0.8811,0.04012,0.9156,0.06038,0.9433,0.07645,0.9483,0.08927,0.9518,0.02946,0.8811,-0.03219,0.0
