td_legacy,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
False,5306,0.0,0.3769,0.0,0.4719,-0.00096,0.4698,-0.00188,0.471,-0.0034,0.4612,-0.00595,0.4551,-0.01522,0.4252,-0.02289,0.4037,-0.03435,0.3797,-0.01652,0.0886,-0.02394,0.068,-0.02937,0.0552,-0.03883,0.042,-0.05959,0.0305,-0.07692,0.0215,-0.09206,0.0167,0.01484,0.8498,0.02255,0.8918,0.02765,0.908,0.03683,0.9305,0.05404,0.9508,0.06725,0.9571,0.0767,0.9604,0.02765,0.908,-0.03191,0.0
True,475,0.0,0.3368,-0.00158,0.4737,-0.00297,0.4505,-0.00454,0.4147,-0.00505,0.4316,-0.00961,0.4021,-0.02068,0.3937,-0.03342,0.3739,-0.04871,0.3464,-0.01659,0.0632,-0.02287,0.0421,-0.02591,0.0358,-0.03559,0.0253,-0.05987,0.0126,-0.07984,0.0128,-0.0969,0.0087,0.01329,0.8105,0.0178,0.8589,0.02255,0.8758,0.0316,0.9074,0.04651,0.9389,0.06137,0.9487,0.07342,0.9521,0.02255,0.8758,-0.02918,0.0
