weekly_passed,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
False,2466,-0.00331,0.4169,-0.01268,0.4116,0.03472,0.794,-0.0428,0.1257
True,2477,0.0,0.4598,-0.01097,0.4033,0.0364,0.8022,-0.0423,0.1445
,602,-0.01269,0.3605,-0.01422,0.4336,0.02806,0.6977,-0.05179,0.1512
