acc_rebound,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
False,4248,-0.00024,0.3637,0.0,0.4699,-0.00149,0.467,-0.00267,0.4612,-0.00381,0.456,-0.00667,0.4484,-0.01602,0.4211,-0.02512,0.3944,-0.03491,0.3758,-0.01699,0.0793,-0.02487,0.0603,-0.02973,0.0504,-0.03891,0.0388,-0.0597,0.029,-0.07841,0.0198,-0.09313,0.0143,0.01473,0.8451,0.02258,0.8879,0.02765,0.9035,0.036,0.9273,0.05274,0.9494,0.06585,0.9559,0.07526,0.9592,0.02765,0.9035,-0.03223,0.0
True,1533,0.0,0.4012,0.0,0.4781,0.0,0.4716,-0.00053,0.4808,-0.00252,0.4664,-0.00556,0.4573,-0.0137,0.4266,-0.0216,0.4203,-0.03481,0.3803,-0.01543,0.1063,-0.02095,0.0815,-0.0268,0.0626,-0.03777,0.0457,-0.05956,0.0294,-0.07326,0.0237,-0.09025,0.0208,0.01458,0.8506,0.02131,0.8924,0.0265,0.9106,0.03781,0.9322,0.05538,0.9511,0.06995,0.9578,0.07955,0.9611,0.0265,0.9106,-0.02996,0.0
