eff_bucket,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
<-2,834,-0.00148,0.4388,-0.0129,0.3969,0.04105,0.8285,-0.04587,0.1007
-2~0,539,0.0,0.4416,-0.00942,0.384,0.03147,0.8219,-0.03289,0.1076
0~2,591,0.0,0.4332,-0.00914,0.4213,0.03075,0.8426,-0.03472,0.1354
>2,1539,0.0,0.4737,-0.00837,0.4334,0.04231,0.8109,-0.04167,0.1631
,2042,-0.00861,0.3893,-0.01668,0.4021,0.02839,0.7272,-0.05079,0.1401
