half,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
2026H1,5015,0.0,0.3862,-0.00109,0.4622,-0.00139,0.4666,-0.00236,0.463,-0.0035,0.4584,-0.00596,0.4514,-0.01595,0.4213,-0.02562,0.3962,-0.03791,0.3685,-0.01572,0.0927,-0.02337,0.0704,-0.02833,0.0586,-0.03794,0.0449,-0.05953,0.0317,-0.07789,0.0221,-0.09375,0.0167,0.01439,0.8479,0.02177,0.8909,0.0268,0.9073,0.03574,0.9302,0.05303,0.9505,0.06649,0.9563,0.07602,0.9607,0.0268,0.9073,-0.03161,0.0
2026H2,766,-0.00323,0.2911,0.00363,0.5366,0.0,0.4791,0.0,0.4883,-0.00333,0.4608,-0.00895,0.4465,-0.01139,0.4308,-0.01516,0.4373,-0.01158,0.4482,-0.02079,0.0457,-0.02741,0.0366,-0.03447,0.0209,-0.04315,0.0131,-0.06061,0.0117,-0.07171,0.0114,-0.08059,0.01,0.01635,0.8381,0.02432,0.8773,0.0306,0.893,0.04036,0.9178,0.05629,0.9452,0.06942,0.9573,0.07827,0.9515,0.0306,0.893,-0.03222,0.0
