sv_raw,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
False,4925,0.0,0.3687,0.0,0.4768,-0.00131,0.4688,-0.00216,0.4666,-0.00327,0.4603,-0.00661,0.4502,-0.01556,0.4227,-0.02481,0.3984,-0.03553,0.3757,-0.01667,0.0826,-0.02428,0.0627,-0.02937,0.052,-0.03876,0.0396,-0.05918,0.0282,-0.0775,0.0197,-0.09302,0.0142,0.01475,0.8451,0.02236,0.8875,0.0274,0.9046,0.03652,0.9281,0.05378,0.9496,0.06646,0.9567,0.07632,0.9596,0.0274,0.9046,-0.0318,0.0
True,856,0.0,0.4019,-0.00141,0.4451,-0.00106,0.465,-0.00245,0.465,-0.00428,0.4498,-0.00572,0.4544,-0.01639,0.4217,-0.02026,0.4175,-0.03107,0.3843,-0.01568,0.1086,-0.02202,0.0841,-0.02713,0.0631,-0.03799,0.0467,-0.06179,0.0339,-0.07549,0.0271,-0.08993,0.0265,0.01425,0.8551,0.02128,0.8984,0.02679,0.91,0.03702,0.9311,0.05164,0.9509,0.06953,0.9552,0.07653,0.9602,0.02679,0.91,-0.03069,0.0
