half,weekly_passed,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
2026H1,False,2150,-0.00408,0.4023,-0.0118,0.42,0.03323,0.787,-0.04176,0.1326
2026H1,True,2116,0.0,0.465,-0.01132,0.4012,0.03543,0.8001,-0.04253,0.147
2026H2,False,316,0.00086,0.5158,-0.0209,0.3544,0.04253,0.8418,-0.05245,0.0791
2026H2,True,361,-0.00256,0.4294,-0.00793,0.4155,0.04124,0.8144,-0.03969,0.1302
