weekly_weekday_path,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
completed_week,1114,0.0,0.4147,-0.00829,0.4111,0.03825,0.9318,-0.03406,0.0539
midweek_partial,2284,-0.00392,0.4295,-0.01209,0.4046,0.03399,0.7925,-0.04478,0.1204
monday,1066,0.00076,0.5019,-0.01177,0.425,0.03703,0.7289,-0.04237,0.2336
tuesday_A,391,-0.01249,0.4041,-0.02041,0.3785,0.02711,0.6803,-0.06233,0.1714
tuesday_B,82,-0.01596,0.3537,-0.03951,0.378,0.01424,0.622,-0.06459,0.1951
tuesday_C,6,-0.02312,0.3333,-0.06901,0.1667,-0.00284,0.5,-0.07051,0.1667
tuesday_C_failed_volume,1,0.1455,1.0,-0.13395,0.0,0.24596,1.0,-0.14203,0.0
tuesday_gate_failed,601,-0.01299,0.3594,-0.01439,0.4326,0.02804,0.6972,-0.05193,0.1514
