weekly_veto,n,next_week_open_gap_med,next_week_open_gap_pos,next_week_return_med,next_week_return_pos,next_week_high_med,next_week_high_pos,next_week_low_med,next_week_low_pos
False,5419,-0.00253,0.4305,-0.0119,0.4102,0.03436,0.7865,-0.0428,0.1378
True,126,-0.00585,0.4048,-0.00968,0.4127,0.04759,0.8175,-0.05198,0.0952
