td_raw,n,overnight_gap_med,overnight_gap_pos,next_day_open_to_close_med,next_day_open_to_close_pos,fwd1_med,fwd1_pos,fwd2_med,fwd2_pos,fwd3_med,fwd3_pos,fwd5_med,fwd5_pos,fwd10_med,fwd10_pos,fwd15_med,fwd15_pos,fwd20_med,fwd20_pos,mae1_full_med,mae1_full_pos,mae2_full_med,mae2_full_pos,mae3_full_med,mae3_full_pos,mae5_full_med,mae5_full_pos,mae10_full_med,mae10_full_pos,mae15_full_med,mae15_full_pos,mae20_full_med,mae20_full_pos,mfe1_full_med,mfe1_full_pos,mfe2_full_med,mfe2_full_pos,mfe3_full_med,mfe3_full_pos,mfe5_full_med,mfe5_full_pos,mfe10_full_med,mfe10_full_pos,mfe15_full_med,mfe15_full_pos,mfe20_full_med,mfe20_full_pos,peak3_return_med,peak3_return_pos,giveback_from_peak3_med,giveback_from_peak3_pos
False,5028,0.0,0.3759,0.0,0.4733,-0.00082,0.4714,-0.00163,0.4733,-0.00316,0.463,-0.00556,0.4584,-0.01397,0.4278,-0.02205,0.408,-0.03343,0.3802,-0.01592,0.0861,-0.02322,0.0668,-0.02857,0.0537,-0.03781,0.0404,-0.05822,0.0302,-0.07562,0.0217,-0.09046,0.0168,0.01453,0.8532,0.02186,0.894,0.02697,0.9097,0.03585,0.9314,0.05263,0.9515,0.06612,0.9582,0.07558,0.9617,0.02697,0.9097,-0.03139,0.0
True,753,-0.00083,0.3586,-0.00196,0.4635,-0.00359,0.4475,-0.00597,0.4197,-0.007,0.4303,-0.0117,0.3997,-0.02269,0.3878,-0.04151,0.3562,-0.05298,0.3552,-0.02051,0.089,-0.02841,0.0598,-0.03411,0.0531,-0.0436,0.0425,-0.06645,0.0212,-0.09031,0.0148,-0.10845,0.0109,0.01584,0.8021,0.02448,0.8566,0.02866,0.8765,0.04106,0.9097,0.05846,0.9389,0.07436,0.9449,0.08483,0.9467,0.02866,0.8765,-0.03419,0.0
