code,industry,seg_gain,pos_in_ind,w_start,w_end,ind_str
sh.600011,D44电力、热力生产和供应业,0.032305359840393066,0.5795454545454546,2021-10-18,2021-11-04,0.42873887249768505
sh.600019,C31黑色金属冶炼和压延加工业,0.256209135055542,0.5333333333333333,2021-07-12,2021-09-24,0.6819847219130717
sh.600020,G54道路运输业,-0.05225652456283569,0.45161290322580644,2024-11-19,2025-01-09,0.4606579308571448
sh.600022,C31黑色金属冶炼和压延加工业,0.2568305730819702,0.5666666666666667,2021-07-12,2021-09-24,0.6819847219130717
sh.600025,D44电力、热力生产和供应业,-0.01349329948425293,0.45454545454545453,2021-10-18,2021-11-04,0.42873887249768505
sh.600027,D44电力、热力生产和供应业,0.004914045333862305,0.5113636363636364,2021-10-18,2021-11-04,0.42873887249768505
sh.600048,K70房地产业,-0.1025390625,0.5113636363636364,2024-12-02,2024-12-25,0.5048503176744117
sh.600051,F51批发业,0.037537455558776855,0.5454545454545454,2025-02-07,2025-03-27,0.4375474047630963
sh.600079,C27医药制造业,0.0424349308013916,0.5065359477124183,2025-07-14,2025-09-17,0.42852905329909063
sh.600082,F51批发业,0.020408153533935547,0.4090909090909091,2025-02-07,2025-03-27,0.4375474047630963
sh.600089,C38电气机械和器材制造业,0.005733013153076172,0.5248447204968945,2025-02-21,2025-03-28,0.5396953562537379
sh.600095,J67资本市场服务,-0.0631721019744873,0.5357142857142857,2024-11-28,2025-01-02,0.4754546275184952
sh.600099,C37铁路、船舶、航空航天和其他运输设备制造业,-0.0010592937469482422,0.5679012345679012,2025-02-24,2025-03-28,0.45632029130490404
sh.600109,J67资本市场服务,-0.06186729669570923,0.5714285714285714,2024-11-28,2025-01-02,0.4754546275184952
sh.600110,C39计算机、通信和其他电子设备制造业,-0.03359174728393555,0.41996830427892234,2025-02-06,2025-03-31,0.7052183862600268
sh.600113,L72商务服务业,-0.06340450048446655,0.5540540540540541,2024-12-02,2025-01-02,0.6945903241604925
sh.600118,C39计算机、通信和其他电子设备制造业,-0.028814196586608887,0.4469096671949287,2025-02-06,2025-03-31,0.7052183862600268
sh.600131,I65软件和信息技术服务业,-0.0015923380851745605,0.5285285285285285,2025-02-06,2025-03-31,0.9931014231289645
sh.600143,C29橡胶和塑料制品业,0.03271019458770752,0.5833333333333334,2025-02-07,2025-03-31,0.5489958398734673
sh.600150,C37铁路、船舶、航空航天和其他运输设备制造业,-0.025332510471343994,0.41975308641975306,2025-02-24,2025-03-28,0.45632029130490404
sh.600151,C38电气机械和器材制造业,0.021676301956176758,0.593167701863354,2025-02-21,2025-03-28,0.5396953562537379
sh.600152,C38电气机械和器材制造业,-0.0016556978225708008,0.5093167701863354,2025-02-21,2025-03-28,0.5396953562537379
sh.600166,C36汽车制造业,0.029045701026916504,0.44565217391304346,2025-02-06,2025-04-01,0.7477436599786422
sh.600170,E48土木工程建筑业,0.024291515350341797,0.5692307692307692,2025-02-20,2025-03-27,0.45269529618562676
sh.600177,C18纺织服装、服饰业,-0.0567164421081543,0.5277777777777778,2021-07-06,2021-07-26,0.48338346507569296
sh.600180,F51批发业,0.03846156597137451,0.5681818181818182,2025-02-07,2025-03-27,0.4375474047630963
sh.600183,C39计算机、通信和其他电子设备制造业,-0.01804405450820923,0.5150554675118859,2025-02-06,2025-03-31,0.7052183862600268
sh.600185,L72商务服务业,-0.0986093282699585,0.44594594594594594,2024-12-02,2025-01-02,0.6945903241604925
sh.600230,C26化学原料和化学制品制造业,-0.06062263250350952,0.4050179211469534,2021-08-24,2021-09-28,0.5957962094531348
sh.600235,C22造纸和纸制品业,-0.06382983922958374,0.525,2024-12-05,2025-01-02,0.3904064525022728
sh.600249,C26化学原料和化学制品制造业,-0.002105236053466797,0.5627240143369175,2021-08-24,2021-09-28,0.5957962094531348
sh.600251,C13农副食品加工业,0.015669584274291992,0.515625,2025-02-20,2025-03-28,0.3492297720560693
sh.600269,G54道路运输业,-0.04646843671798706,0.4838709677419355,2024-11-19,2025-01-09,0.4606579308571448
sh.600271,I65软件和信息技术服务业,-0.015521109104156494,0.46546546546546547,2025-02-06,2025-03-31,0.9931014231289645
sh.600282,C31黑色金属冶炼和压延加工业,0.1890411376953125,0.4,2021-07-12,2021-09-24,0.6819847219130717
sh.600287,F51批发业,0.03282272815704346,0.5227272727272727,2025-02-07,2025-03-27,0.4375474047630963
