dimension,signal_type,horizon,events,effective_n,stocks,dates,median,mean,positive_rate,result_negative_n,result_positive_n,result_neutral_n,result_unknown_n,path_direct_failure_n,path_immediate_continuation_n,path_spike_then_fade_n,path_deep_drawdown_recovery_n,path_delayed_start_n,path_unknown_n,weekly_base_pattern,weekly_weekday_path,weekly_eligibility_state,industry_code,market_context,half
weekly_base_pattern,,10,67180,67180,4787,,0.0014884644924967,0.007143469544300251,0.5056713307532004,30940.0,30859.0,2194.0,3187.0,20064,17270,13746,8060.0,8040.0,,negative_to_positive,,,,,
weekly_base_pattern,,15,67180,66907,4787,,-0.0022988505747127,0.008843285590656167,0.48616736664325105,31148.0,30861.0,1774.0,3397.0,16931,14776,17881,10241.0,7078.0,273.0,negative_to_positive,,,,,
weekly_base_pattern,,20,67180,66640,4787,,-0.0014925406383172,0.0131048719255399,0.49179171668667465,31385.0,30581.0,1505.0,3709.0,14911,13434,19374,12475.0,6446.0,540.0,negative_to_positive,,,,,
weekly_base_pattern,,1,90319,90319,4808,,-0.0011061946902656,0.00012645795580925207,0.46964647527098397,39366.0,38606.0,9015.0,3332.0,48244,38989,2421,665.0,,,none,,,,,
weekly_base_pattern,,2,90319,90319,4808,,-0.0016638935108153,0.0004237253045131086,0.4701557811756109,40306.0,40475.0,6199.0,3339.0,43546,29639,6071,1975.0,9088.0,,none,,,,,
weekly_base_pattern,,3,90319,90319,4808,,-0.0016438356164384,0.0007322575679026758,0.47590208040390175,41092.0,40714.0,5098.0,3415.0,39535,27243,9329,3499.0,10713.0,,none,,,,,
weekly_base_pattern,,5,90319,90319,4808,,-0.0024154589371979,0.0021400399526073886,0.47554778064416126,41042.0,41437.0,4066.0,3774.0,34259,24761,14216,6166.0,10917.0,,none,,,,,
weekly_base_pattern,,10,90319,90319,4808,,-0.0053821313240043,0.00299144051495994,0.4666349273131899,41503.0,41363.0,2706.0,4747.0,26785,20273,22172,11409.0,9680.0,,none,,,,,
weekly_base_pattern,,15,90319,90185,4808,,-0.0070821529745043,0.005515094362725802,0.46712867993568774,40967.0,41351.0,2136.0,5865.0,22463,17467,26192,15204.0,8859.0,134.0,none,,,,,
weekly_base_pattern,,20,90319,89303,4808,,-0.0070948469006721,0.008002567582922008,0.4711935769235076,41315.0,40920.0,1846.0,6238.0,19662,15987,28059,17534.0,8061.0,1016.0,none,,,,,
weekly_base_pattern,,1,1295,1295,1127,,0.0088079859072225,0.00959247071739588,0.6455598455598456,534.0,612.0,102.0,47.0,479,796,14,6.0,,,unknown,,,,,
weekly_base_pattern,,2,1295,1295,1127,,0.0121145374449338,0.015068701924382262,0.6270270270270271,557.0,616.0,75.0,47.0,454,672,39,57.0,73.0,,unknown,,,,,
weekly_base_pattern,,3,1295,1295,1127,,0.0163487738419618,0.018496082483562225,0.6355212355212355,553.0,640.0,55.0,47.0,411,652,78,57.0,97.0,,unknown,,,,,
weekly_base_pattern,,5,1295,1295,1127,,0.0165837479270314,0.02428683659124448,0.6,556.0,651.0,41.0,47.0,377,613,147,62.0,96.0,,unknown,,,,,
weekly_base_pattern,,10,1295,1295,1127,,0.0093549975381586,0.019544786069688867,0.5444015444015444,666.0,555.0,27.0,47.0,315,500,285,126.0,69.0,,unknown,,,,,
weekly_base_pattern,,15,1295,1295,1127,,-0.0021413276231263,0.01161069030928192,0.49266409266409267,654.0,562.0,32.0,47.0,270,424,395,154.0,52.0,,unknown,,,,,
weekly_base_pattern,,20,1295,1295,1127,,0.0,0.015326726569366159,0.4996138996138996,595.0,623.0,30.0,47.0,230,389,424,205.0,47.0,,unknown,,,,,
weekly_weekday_path,,1,38476,38476,4717,,0.00316832130416885,0.004506435632591324,0.556866618151575,17165.0,16199.0,3580.0,1532.0,17525,19837,762,352.0,,,,completed_week,,,,
weekly_weekday_path,,2,38476,38476,4717,,0.001142421934501,0.0031624821209595634,0.5093304917351076,17481.0,16857.0,2606.0,1532.0,17263,15051,2427,801.0,2934.0,,,completed_week,,,,
weekly_weekday_path,,3,38476,38476,4717,,0.0,0.0031318751532571493,0.49968811726790724,17720.0,16847.0,2238.0,1671.0,16019,13801,3956,1246.0,3454.0,,,completed_week,,,,
weekly_weekday_path,,5,38476,38476,4717,,-0.00098522263119475,0.002439392862826526,0.4853415115916415,17427.0,17602.0,1776.0,1671.0,14133,12325,6220,2187.0,3611.0,,,completed_week,,,,
weekly_weekday_path,,10,38476,38476,4717,,-0.0036190908886254997,0.004715154720614539,0.4749974009772326,17704.0,17662.0,1205.0,1905.0,10935,10296,9604,4302.0,3339.0,,,completed_week,,,,
weekly_weekday_path,,15,38476,38332,4717,,-0.00627406564463715,0.005635927672637136,0.471746843368465,17486.0,17657.0,968.0,2365.0,9059,8862,11421,5886.0,3104.0,144.0,,completed_week,,,,
weekly_weekday_path,,20,38476,38092,4717,,-0.00503814690183325,0.01283823126212922,0.47876194476530504,17430.0,17530.0,797.0,2719.0,7919,8070,12144,7194.0,2765.0,384.0,,completed_week,,,,
weekly_weekday_path,,1,75729,75729,4799,,-0.0023612750885479,-0.0009377240292214114,0.4456416960477492,33048.0,32203.0,7793.0,2685.0,42200,31033,2135,361.0,,,,midweek_partial,,,,
weekly_weekday_path,,2,75729,75729,4799,,-0.0015037593984962,0.00033334020457449596,0.4728307517595637,34077.0,33688.0,5279.0,2685.0,36842,24468,4592,1433.0,8394.0,,,midweek_partial,,,,
weekly_weekday_path,,3,75729,75729,4799,,0.0,0.0024530028368797674,0.4903273514769771,34924.0,33904.0,4216.0,2685.0,33087,22651,6786,2993.0,10212.0,,,midweek_partial,,,,
weekly_weekday_path,,5,75729,75729,4799,,-0.0027972027972028,0.0031776442514281906,0.47243460233199963,34646.0,34463.0,3394.0,3226.0,29540,19918,11306,5069.0,9896.0,,,midweek_partial,,,,
weekly_weekday_path,,10,75729,75729,4799,,-0.0031674208144796,0.00570895026177034,0.4785088935546488,35416.0,34236.0,2302.0,3775.0,22456,16637,17691,9778.0,9167.0,,,midweek_partial,,,,
weekly_weekday_path,,15,75729,75727,4799,,-0.0041580041580042,0.009410828773233551,0.47878563788344974,35007.0,34464.0,1806.0,4452.0,18816,14589,21173,12791.0,8358.0,2.0,,midweek_partial,,,,
weekly_weekday_path,,20,75729,75174,4799,,-0.00358982342723605,0.010904476466276793,0.48475536754729026,35009.0,34406.0,1603.0,4711.0,16387,13382,22800,14831.0,7774.0,555.0,,midweek_partial,,,,
weekly_weekday_path,,1,43972,43972,4750,,-0.002127659574468,-0.00046638755769960787,0.447762212316929,18695.0,18972.0,4759.0,1546.0,24731,18075,917,249.0,,,,monday,,,,
weekly_weekday_path,,2,43972,43972,4750,,-0.0031092115073452003,7.618109714530632e-05,0.44360047302829075,19312.0,19413.0,3321.0,1926.0,23087,13693,2362,847.0,3983.0,,,monday,,,,
weekly_weekday_path,,3,43972,43972,4750,,-0.0044723076950552,-0.001435036562154663,0.44291822068589104,19422.0,19965.0,2659.0,1926.0,21190,12707,4067,1326.0,4682.0,,,monday,,,,
weekly_weekday_path,,5,43972,43972,4750,,0.00042626930448725004,0.0036723761507524546,0.5005685436186664,20013.0,19991.0,2042.0,1926.0,17036,12626,5438,2973.0,5899.0,,,monday,,,,
weekly_weekday_path,,10,43972,43972,4750,,0.001192626623238,0.008046124394599723,0.5031611025197853,20228.0,20349.0,1389.0,2006.0,13021,10652,9191,5757.0,5351.0,,,monday,,,,
weekly_weekday_path,,15,43972,43591,4750,,0.0,0.0112367515065597,0.49744213255029707,20254.0,20306.0,1096.0,2316.0,10747,9331,11441,7405.0,4667.0,381.0,,monday,,,,
weekly_weekday_path,,20,43972,43510,4750,,0.0,0.013286613034507252,0.49726499655251666,20342.0,20144.0,916.0,2570.0,9448,8359,12692,8672.0,4339.0,462.0,,monday,,,,
weekly_weekday_path,,1,17699,17699,4297,,0.0,0.0023788520991922944,0.48403864625120063,7493.0,7393.0,2030.0,783.0,9405,7896,326,72.0,,,,tuesday_A,,,,
weekly_weekday_path,,2,17699,17699,4297,,-0.0010653409090909,0.0007091122371125537,0.4730775750042375,7804.0,7709.0,1403.0,783.0,8729,5958,1020,217.0,1775.0,,,tuesday_A,,,,
weekly_weekday_path,,3,17699,17699,4297,,-0.0015797788309636,-0.0008748310381013916,0.47013955590711337,7825.0,7977.0,1114.0,783.0,8180,5490,1585,424.0,2020.0,,,tuesday_A,,,,
weekly_weekday_path,,5,17699,17699,4297,,0.0018545994065282,0.003974583334912367,0.5125148313464037,8157.0,7915.0,844.0,783.0,6648,5408,2228,1081.0,2334.0,,,tuesday_A,,,,
weekly_weekday_path,,10,17699,17699,4297,,0.001610305958132,0.00611592298433863,0.5068082942539126,8172.0,8119.0,587.0,821.0,5291,4670,3604,2001.0,2133.0,,,tuesday_A,,,,
weekly_weekday_path,,15,17699,17648,4297,,-0.00076997916701225,0.007682868123760321,0.49444696282864914,8165.0,8183.0,485.0,866.0,4484,4025,4560,2637.0,1942.0,51.0,,tuesday_A,,,,
weekly_weekday_path,,20,17699,17610,4297,,0.0,0.013613724191762863,0.49630891538898353,8227.0,8198.0,390.0,884.0,3983,3714,4990,3202.0,1721.0,89.0,,tuesday_A,,,,
weekly_weekday_path,,1,3097,3097,2110,,-0.001186943620178,0.00022435082585182365,0.45075879883758474,1181.0,1422.0,362.0,132.0,1775,1267,47,8.0,,,,tuesday_B,,,,
weekly_weekday_path,,2,3097,3097,2110,,-0.0035906642728905,-0.0018090049268526997,0.4291249596383597,1275.0,1434.0,256.0,132.0,1721,916,121,38.0,301.0,,,tuesday_B,,,,
weekly_weekday_path,,3,3097,3097,2110,,-0.0058163689239717,-0.007027699473094014,0.41588634162092347,1278.0,1474.0,213.0,132.0,1650,825,217,75.0,330.0,,,tuesday_B,,,,
weekly_weekday_path,,5,3097,3097,2110,,-0.0021474588403722,-0.003167956586627776,0.4727155311591863,1338.0,1481.0,146.0,132.0,1363,821,312,198.0,403.0,,,tuesday_B,,,,
weekly_weekday_path,,10,3097,3097,2110,,-0.0043196544276458,-0.004280519102509289,0.47077817242492737,1337.0,1478.0,114.0,168.0,1130,693,541,368.0,365.0,,,tuesday_B,,,,
weekly_weekday_path,,15,3097,3096,2110,,-0.024502042726459,-0.011325414272863588,0.3814599483204134,1339.0,1495.0,87.0,176.0,1017,462,920,427.0,270.0,1.0,,tuesday_B,,,,
weekly_weekday_path,,20,3097,3059,2110,,-0.0201680672268907,-0.00327781711887354,0.40666884602811376,1351.0,1470.0,98.0,178.0,938,440,897,549.0,235.0,38.0,,tuesday_B,,,,
weekly_weekday_path,,1,184,184,180,,-0.00309582642293515,-0.0018106981579931042,0.44565217391304346,81.0,75.0,22.0,6.0,109,72,1,2.0,,,,tuesday_C,,,,
weekly_weekday_path,,2,184,184,180,,-0.007749716107617001,-0.00820824825396718,0.3858695652173913,83.0,83.0,12.0,6.0,106,48,9,2.0,19.0,,,tuesday_C,,,,
weekly_weekday_path,,3,184,184,180,,-0.00710488242843895,-0.012746540481927693,0.40217391304347827,75.0,89.0,14.0,6.0,102,50,11,6.0,15.0,,,tuesday_C,,,,
weekly_weekday_path,,5,184,184,180,,-0.0042672320069579,-0.011135355727647104,0.4782608695652174,79.0,91.0,8.0,6.0,80,52,17,18.0,17.0,,,tuesday_C,,,,
weekly_weekday_path,,10,184,184,180,,-0.00803519080374325,-0.01142269647850862,0.47282608695652173,81.0,89.0,8.0,6.0,60,45,38,25.0,16.0,,,tuesday_C,,,,
weekly_weekday_path,,15,184,184,180,,-0.03735272459499255,-0.021123345632195777,0.32065217391304346,92.0,80.0,6.0,6.0,61,25,65,21.0,12.0,,,tuesday_C,,,,
weekly_weekday_path,,20,184,184,180,,-0.025066726891964,-0.014880893079602798,0.3858695652173913,97.0,80.0,1.0,6.0,58,27,55,32.0,12.0,,,tuesday_C,,,,
weekly_weekday_path,,1,16429,16429,4349,,-0.0025870178739416,-0.0010474124969993036,0.44037981617870836,7134.0,7039.0,1562.0,694.0,9217,6571,491,150.0,,,,tuesday_gate_failed,,,,
weekly_weekday_path,,2,16429,16429,4349,,-0.003512880562061,-0.0013128849978553544,0.44251019538620734,7302.0,7305.0,1128.0,694.0,8135,4776,1325,403.0,1790.0,,,tuesday_gate_failed,,,,
weekly_weekday_path,,3,16429,16429,4349,,-0.0045351473922903,-0.0032563676212675175,0.4414754397711364,7363.0,7459.0,913.0,694.0,7480,4316,1935,658.0,2040.0,,,tuesday_gate_failed,,,,
weekly_weekday_path,,5,16429,16429,4349,,-0.0036630036630036,-0.0004177490675163195,0.46411832734798225,7502.0,7541.0,692.0,694.0,6315,4019,2683,1243.0,2169.0,,,tuesday_gate_failed,,,,
weekly_weekday_path,,10,16429,16429,4349,,-0.0066050198150594,0.00012385243222684324,0.46290096780084,7429.0,7599.0,426.0,975.0,5061,3339,3910,2269.0,1850.0,,,tuesday_gate_failed,,,,
weekly_weekday_path,,15,16429,16380,4349,,-0.0107104585756864,0.00129414027886331,0.45183150183150184,7454.0,7601.0,362.0,1012.0,4313,2726,4777,2919.0,1645.0,49.0,,tuesday_gate_failed,,,,
weekly_weekday_path,,20,16429,16095,4349,,-0.0160599571734475,4.060743106682224e-05,0.44380242311276796,7591.0,7390.0,307.0,1141.0,3852,2537,5185,3124.0,1397.0,334.0,,tuesday_gate_failed,,,,
weekly_eligibility_state,,1,99975,99975,4811,,-0.0008064516129031,0.0008260668967705579,0.4704876219054764,43274.0,42328.0,10542.0,3831.0,54018,43289,2166,502.0,,,,,eligible,,,
weekly_eligibility_state,,2,99975,99975,4811,,-0.0015491866769945,0.0008549161197615154,0.4696474118529632,44770.0,43579.0,7422.0,4204.0,49712,33401,5551,1652.0,9659.0,,,,eligible,,,
weekly_eligibility_state,,3,99975,99975,4811,,-0.0016711229946524,0.0008857615826893011,0.4732683170792698,45285.0,44481.0,5942.0,4267.0,45675,30896,8812,3050.0,11542.0,,,,eligible,,,
weekly_eligibility_state,,5,99975,99975,4811,,0.0,0.0032779262476407603,0.4903925981495374,45815.0,45100.0,4611.0,4449.0,38827,28687,13402,6238.0,12821.0,,,,eligible,,,
weekly_eligibility_state,,10,99975,99975,4811,,0.0,0.0077525742399293905,0.4998649662415604,46415.0,45753.0,3149.0,4658.0,29506,24616,21369,12467.0,12017.0,,,,eligible,,,
weekly_eligibility_state,,15,99975,99483,4811,,-0.0010131712259373,0.010569888259663433,0.4924157896323995,46402.0,45974.0,2534.0,5065.0,24547,21451,26600,16137.0,10748.0,492.0,,,eligible,,,
weekly_eligibility_state,,20,99975,99168,4811,,-0.0006493509231534,0.01384779268785072,0.4950185543723782,46352.0,45807.0,2113.0,5703.0,21576,19505,29111,19135.0,9841.0,807.0,,,eligible,,,
weekly_eligibility_state,,1,8494,8494,3569,,-0.00262010532289445,-0.0012623828131615945,0.4451377442900871,3855.0,3646.0,731.0,262.0,4573,3468,342,111.0,,,,,excluded,,,
weekly_eligibility_state,,2,8494,8494,3569,,-0.00194521242514285,0.0006326650032606504,0.4683305862962091,3919.0,3800.0,511.0,264.0,3906,2649,756,308.0,875.0,,,,excluded,,,
weekly_eligibility_state,,3,8494,8494,3569,,-0.0013179893605471,0.0020112468439512244,0.4811631740051801,3931.0,3895.0,397.0,271.0,3454,2450,1095,484.0,1011.0,,,,excluded,,,
weekly_eligibility_state,,5,8494,8494,3569,,-0.00324678747246035,0.0032452868715115196,0.4711561101954321,4026.0,3848.0,334.0,286.0,2957,2171,1642,762.0,962.0,,,,excluded,,,
weekly_eligibility_state,,10,8494,8494,3569,,-0.0023228803716608,0.008770104911288393,0.4850482693666117,4121.0,3803.0,255.0,315.0,2181,1816,2265,1321.0,911.0,,,,excluded,,,
weekly_eligibility_state,,15,8494,8485,3569,,-0.0050237610319077,0.01062423566008186,0.4776664702416028,4082.0,3848.0,170.0,394.0,1800,1560,2680,1644.0,801.0,9.0,,,excluded,,,
weekly_eligibility_state,,20,8494,8462,3569,,-0.0057758801790573,0.01241542786649908,0.4800283620893406,4107.0,3803.0,167.0,417.0,1564,1433,2885,1831.0,749.0,32.0,,,excluded,,,
weekly_eligibility_state,,1,69393,69393,4790,,-0.0003316199635218,0.0005771196242421503,0.47921260069459454,30000.0,29678.0,7171.0,2544.0,36675,30627,1666,425.0,,,,,observation,,,
weekly_eligibility_state,,2,69393,69393,4790,,-0.001312866087659,0.0006535633938072919,0.47468764861009033,30786.0,31189.0,4869.0,2549.0,33676,23412,4185,1321.0,6799.0,,,,observation,,,
weekly_eligibility_state,,3,69393,69393,4790,,-0.0012549675800042,0.0010661060556745507,0.47976020636087213,31475.0,31240.0,4060.0,2618.0,30688,21526,6637,2479.0,8063.0,,,,observation,,,
weekly_eligibility_state,,5,69393,69393,4790,,-0.0018488308863513,0.002417219491435462,0.4795728675803035,31263.0,31944.0,3224.0,2962.0,26639,19679,10330,4464.0,8281.0,,,,observation,,,
weekly_eligibility_state,,10,69393,69393,4790,,-0.0052966101694914,0.0026742952121529716,0.46624299280907294,31736.0,31822.0,2174.0,3661.0,20891,16061,16750,8317.0,7374.0,,,,observation,,,
weekly_eligibility_state,,15,69393,69315,4790,,-0.0073671965878246,0.005171201704987787,0.46616172545625045,31205.0,31801.0,1712.0,4675.0,17567,13859,19905,11232.0,6752.0,78.0,,,observation,,,
weekly_eligibility_state,,20,69393,68704,4790,,-0.0060881624652449,0.008961267780414044,0.47406264555193295,31402.0,31595.0,1495.0,4901.0,15363,12665,21158,13309.0,6209.0,689.0,,,observation,,,
weekly_eligibility_state,,1,17724,17724,4426,,-0.00185444697588435,-0.0002700118671955483,0.45537124802527645,7668.0,7651.0,1664.0,741.0,9696,7367,505,156.0,,,,,unknown,,,
weekly_eligibility_state,,2,17724,17724,4426,,-0.0026542800265427,-0.00011596810187827738,0.45599187542315506,7859.0,7921.0,1203.0,741.0,8589,5448,1364,460.0,1863.0,,,,unknown,,,
weekly_eligibility_state,,3,17724,17724,4426,,-0.0034904276479363503,-0.0016670298371468614,0.45565335138794855,7916.0,8099.0,968.0,741.0,7891,4968,2013,715.0,2137.0,,,,unknown,,,
weekly_eligibility_state,,5,17724,17724,4426,,-0.00258564976451875,0.0013872858246127275,0.47404649063416837,8058.0,8192.0,733.0,741.0,6692,4632,2830,1305.0,2265.0,,,,unknown,,,
weekly_eligibility_state,,10,17724,17724,4426,,-0.0054366449822796006,0.00154283849973493,0.46885578876100203,8095.0,8154.0,453.0,1022.0,5376,3839,4195,2395.0,1919.0,,,,unknown,,,
weekly_eligibility_state,,15,17724,17675,4426,,-0.01,0.0020500063206959607,0.45482319660537485,8108.0,8163.0,394.0,1059.0,4583,3150,5172,3073.0,1697.0,49.0,,,unknown,,,
weekly_eligibility_state,,20,17724,17390,4426,,-0.0148042444026899,0.001178935452004006,0.4479585968947671,8186.0,8013.0,337.0,1188.0,4082,2926,5609,3329.0,1444.0,334.0,,,unknown,,,
industry_code,,1,3534,3534,97,,0.0,0.00046924143570769287,0.4855687606112054,1604.0,1506.0,424.0,,1893,1567,59,15.0,,,,,,801010,,
industry_code,,2,3534,3534,97,,-0.00158670216448575,-0.0003575566718209673,0.46236559139784944,1711.0,1497.0,324.0,2.0,1803,1165,170,45.0,351.0,,,,,801010,,
industry_code,,3,3534,3534,97,,0.0,-0.00017418960501978703,0.48500282965478214,1698.0,1591.0,243.0,2.0,1626,1117,274,72.0,445.0,,,,,801010,,
industry_code,,5,3534,3534,97,,-0.0016743480625500502,-0.0005870281831803036,0.4722693831352575,1725.0,1595.0,208.0,6.0,1463,994,452,134.0,491.0,,,,,801010,,
industry_code,,10,3534,3534,97,,-0.0041265474552957,-0.0019537739869399016,0.4654782116581777,1758.0,1629.0,134.0,13.0,1171,853,746,306.0,458.0,,,,,801010,,
industry_code,,15,3534,3532,97,,-0.00593477035784725,-0.0007709844006106403,0.4634767836919592,1728.0,1662.0,116.0,28.0,972,742,947,469.0,402.0,2.0,,,,801010,,
industry_code,,20,3534,3525,97,,-0.0060422960725076,-0.0008867456606518914,0.46808510638297873,1703.0,1704.0,91.0,36.0,841,675,1067,562.0,380.0,9.0,,,,801010,,
industry_code,,1,16941,16941,381,,0.0,0.0010127529091887614,0.47901540641048346,7575.0,7513.0,1847.0,6.0,9071,7429,338,103.0,,,,,,801030,,
industry_code,,2,16941,16941,381,,-0.0006993006993006,0.0018455144942224934,0.48291128032583674,7689.0,7908.0,1292.0,52.0,8206,5783,939,299.0,1714.0,,,,,801030,,
