code,date,weekday,regime,trend,label,mom_origin,fwd5,fwd10,fwd20,mae10,mfe10,half,date_ts,industry,trend_age,amount_relative_20d,return_realized_5d,hard_gate,age_bin,volume_stagnation,fwd10_industry_peer_median,fwd10_industry_demeaned,shrinking_up,accelerating_up,fwd1,fwd2,fwd3,fwd30,mae3,mfe3,mae30,mfe30,volume_ratio_5_vs_prior20,ret5,ret5_prev
600785,2023-03-01,2,bull,none,pullback_holds,current_week,0.0260718424101968,-0.0538818076477404,-0.1187717265353418,-0.0741599073001159,0.0758980301274623,2023H1,2023-03-01,sw_l1:801200,0.0,1.067142,0.022539,False,0-5,False,0.0635702348083437,-0.1174520424560841,True,True,-0.007531865585168163,0.02838933951332545,0.063151796060255,-0.05388180764774042,-0.009849362688296726,0.07589803012746232,-0.12340672074159909,0.07589803012746232,0.6080982084572423,0.02253855278766337,-0.0140350877192984
002116,2023-03-01,2,bull,ma_bull,pullback_holds,current_week,0.070528967254408,0.0780856423173803,-0.0931989924433248,-0.0167926112510494,0.144416456759026,2023H1,2023-03-01,sw_l1:801720,0.0,1.198405,0.001672,True,0-5,False,,,False,True,0.04030226700251882,0.12090680100755669,0.07892527287993278,-0.09319899244332486,-0.0033585222502098278,0.14441645675902604,-0.11754827875734675,0.14441645675902604,1.1216093395877091,0.0016722408026754731,-0.01725554642563676
002492,2023-03-01,2,bull,ma_bull,pullback_holds,current_week,0.0,-0.0394736842105262,-0.0701754385964911,-0.0701754385964911,0.0277777777777779,2023H1,2023-03-01,sw_l1:801170,0.0,1.007747,0.022422,True,0-5,False,-0.0293398533007334,-0.0101338309097928,False,True,0.004385964912280826,0.021929824561403466,0.016081871345029253,-0.10233918128654962,-0.00877192982456132,0.0277777777777779,-0.1257309941520467,0.0277777777777779,1.056978567891578,0.022421524663676973,-0.03323699421965309
600794,2023-03-01,2,bull,ma_bull,pullback_holds,current_week,-0.0244498777506111,-0.0293398533007334,-0.1051344743276283,-0.0586797066014669,0.0073349633251833,2023H1,2023-03-01,sw_l1:801170,0.0,0.685286,0.0,True,0-5,False,-0.0394736842105262,0.0101338309097928,False,False,-0.009779951100244544,-0.004889975550122161,-0.014669926650366705,-0.05623471882640585,-0.017114914425427674,0.007334963325183352,-0.1124694376528117,0.007334963325183352,0.6189243574718646,0.0,-0.01449275362318836
600795,2023-03-01,2,bull,none,pullback_holds,current_week,0.0076335877862594,0.0229007633587787,-0.0585241730279898,-0.0178117048346057,0.0407124681933841,2023H1,2023-03-01,sw_l1:801160,0.0,0.758721,0.002551,False,0-5,False,,,True,True,0.007633587786259444,0.022900763358778775,0.030534351145037997,-0.022900763358778664,-0.0050890585241730735,0.040712468193384144,-0.07888040712468192,0.040712468193384144,0.612150690226592,0.0025510204081633514,0.0
300003,2023-03-01,2,bull,none,pullback_holds,current_week,-0.0368466152527848,-0.0282776349614396,0.0068551842330761,-0.0612682090831191,0.0025706940874037,2023H1,2023-03-01,sw_l1:801150,0.0,0.671354,-0.013519,False,0-5,False,0.0153878231859883,-0.0436654581474279,False,False,-0.023564695801199687,-0.0265638389031706,-0.023136246786632397,0.050985432733504865,-0.03813196229648674,0.0025706940874037354,-0.06126820908311914,0.059982862039417384,0.646502790848742,-0.013519222644697959,-0.016209476309226978
600754,2023-03-01,2,bull,ma_bull,pullback_holds,current_week,0.0155014236001265,-0.0637456501107245,-0.0414425814615627,-0.0699145839924073,0.042866181588105,2023H1,2023-03-01,sw_l1:801210,0.0,0.944546,0.001752,True,0-5,False,-0.0806045340050377,0.0168588838943131,False,True,-0.0022144890857324073,0.00268902246124636,0.03290098070230929,-0.05757671622904148,-0.01724137931034475,0.04286618158810507,-0.0928503638089212,0.07655805124960469,0.8987742845998575,0.00175187131708876,-0.01211453744493396
603416,2023-03-01,2,bull,ma_bull,pullback_holds,current_week,-0.0488992791739723,-0.084356127021235,-0.1307227742061173,-0.0886421196181569,0.0270796804987336,2023H1,2023-03-01,sw_l1:801890,0.0,1.047133,-0.017497,True,0-5,False,-0.076784733627091,-0.007571393394144,False,False,0.010130527956360824,-0.018507695304889826,-0.018312877459575216,-0.21566335476329634,-0.02902785895187987,0.02707968049873366,-0.22267679719462308,0.02707968049873366,0.704644338178622,-0.01749663526244949,-0.005735041101127991
002698,2023-03-01,2,bull,ma_bull,pullback_holds,current_week,-0.0527592480291085,-0.0848999393571863,-0.0206185567010311,-0.0903577926015768,0.0060642813826561,2023H1,2023-03-01,sw_l1:801890,0.0,0.995171,-0.014952,True,0-5,False,-0.0765128274591153,-0.0083871118980709,False,False,-0.012734990903577992,-0.023650697392359032,-0.029714978775015277,-0.041843541540327545,-0.040024257125530704,0.006064281382656134,-0.11461491813220148,0.015160703456640334,0.8734204115975418,-0.014952153110047828,-0.015891701000588787
002576,2023-03-01,2,bull,ma_bull,two_day_acceleration,current_week,0.0931034482758621,-0.1039408866995074,-0.0945812807881774,-0.1142857142857143,0.108374384236453,2023H1,2023-03-01,sw_l1:801730,0.0,1.245601,0.043216,True,0-5,False,,,True,True,0.041871921182266014,-0.0024630541871921707,0.05123152709359591,-0.16009852216748766,-0.005418719211822687,0.08669950738916254,-0.16453201970443343,0.10837438423645307,0.4228153037920421,0.04321608040201008,-0.05910165484633567
