signal_id,code,date,weekly_passed,sv_legacy,td_legacy,weekly_daily_cell,t_eff,eff_delta,weekday_path,matured_1,matured_3,matured_30,overnight_gap,fwd1,fwd2,matured_2,fwd3,fwd30,next_day_open_to_close,next_day_high_vs_signal_close,next_day_low_vs_signal_close,peak3_return,peak3_session_offset,giveback_from_peak3,early3_up_then_flat,mae3_full,mfe3_full,mae30_full,mfe30_full,matured_week,next_week_sessions,next_week_open_gap,next_week_high,next_week_low,next_week_return,matured_week_remaining,week_remaining_return,week_remaining_high,week_remaining_sessions
000006_2026-01-05,000006,2026-01-05,False,False,False,0_0,2.0837,-2.7517,monday,True,True,True,0.0010277492291881352,0.013360739979444869,0.005138746145940232,True,0.019527235354573458,-0.047276464542651664,0.012320328542094305,0.029804727646454143,-0.0020554984583761593,0.03597122302158273,0,-0.015873015873015928,False,-0.009249743062692661,0.03597122302158273,-0.11613566289825294,0.07194244604316546,True,5.0,0.02672147995888996,0.043165467625899234,-0.058581706063720485,-0.05344295991778003,False,0.043165467625899234,0.07194244604316546,4.0
000006_2026-01-07,000006,2026-01-07,False,False,False,0_0,,,midweek_partial,True,True,True,0.0010224948875257045,0.014314928425357865,0.03783231083844596,True,0.00920245398773023,-0.047034764826175746,0.01327885597548506,0.017382413087934756,-0.014314928425357754,0.06646216768916169,0,-0.05369127516778516,True,-0.014314928425357754,0.06646216768916169,-0.12065439672801637,0.06646216768916169,True,5.0,0.021472392638036908,0.03783231083844596,-0.0633946830265848,-0.05828220858895694,False,0.03783231083844596,0.06646216768916169,2.0
000006_2026-01-09,000006,2026-01-09,True,False,True,1_1,1.5198,0.1323,completed_week,True,True,True,-0.015763546798029604,-0.027586206896551668,-0.058128078817733964,True,-0.06798029556650242,-0.11921182266009855,-0.012012012012011963,0.0,-0.0453201970443351,0.0,1,-0.06798029556650242,False,-0.08472906403940883,0.0,-0.15270935960591137,0.0,True,5.0,-0.015763546798029604,0.0,-0.09753694581280792,-0.09261083743842358,False,,,
000006_2026-01-13,000006,2026-01-13,True,False,False,1_0,,,tuesday_C,True,True,True,-0.003138075313807609,-0.010460251046025104,-0.026150627615062705,True,-0.03661087866108781,-0.10460251046025104,-0.007345225603357708,0.01987447698744771,-0.028242677824267703,0.01987447698744771,1,-0.055384615384615254,False,-0.04184100418410042,0.01987447698744771,-0.13075313807531375,0.05020920502092063,True,5.0,-0.03870292887029303,0.05020920502092063,-0.05857740585774063,0.01882845188284521,False,-0.03661087866108781,0.01987447698744771,3.0
000006_2026-01-15,000006,2026-01-15,False,False,False,0_0,,,midweek_partial,True,True,True,0.004296455424274814,-0.010741138560687369,-0.017185821697099923,True,0.0032223415682062218,-0.01933404940923733,-0.014973262032085488,0.029001074113855996,-0.01611170784103122,0.029001074113855996,1,-0.025052192066805867,False,-0.03329752953813114,0.029001074113855996,-0.10741138560687435,0.07841031149301836,True,5.0,-0.012889366272824998,0.07841031149301836,-0.03329752953813114,0.04618689581095592,False,-0.010741138560687369,0.029001074113855996,1.0
000006_2026-01-21,000006,2026-01-21,True,False,True,1_1,4.5499,-3.2579,midweek_partial,True,True,True,-0.007253886010362698,0.0,0.00932642487046631,True,-0.03523316062176163,-0.05803108808290158,0.007306889352818313,0.013471502590673534,-0.03626943005181338,0.013471502590673534,1,-0.04805725971370134,False,-0.03626943005181338,0.013471502590673534,-0.138860103626943,0.02072538860103612,True,5.0,0.008290155440414448,0.013471502590673534,-0.10880829015544047,-0.07150259067357512,False,0.00932642487046631,0.013471502590673534,2.0
000006_2026-01-23,000006,2026-01-23,True,True,True,1_1,5.5811,-2.2267,completed_week,True,True,True,-0.0010266940451745254,-0.04414784394250515,-0.08008213552361387,True,-0.08213552361396315,-0.05954825462012325,-0.043165467625899234,0.004106776180698102,-0.045174537987679675,0.004106776180698102,1,-0.08588957055214719,False,-0.10266940451745377,0.004106776180698102,-0.14681724845995892,0.011293634496919891,True,5.0,-0.0010266940451745254,0.004106776180698102,-0.11704312114989734,-0.08008213552361387,False,,,
000006_2026-02-02,000006,2026-02-02,False,False,False,0_0,10.7784,4.7936,monday,True,True,True,0.013777267508610747,0.019517795637198576,0.04018369690011481,True,0.03329506314580932,-0.030998851894374457,0.005662514156285381,0.021814006888633664,0.00344431687715252,0.048220436280137724,0,-0.01423877327491796,False,0.00344431687715252,0.048220436280137724,-0.08151549942594727,0.13088404133180243,True,5.0,0.053960964408725554,0.12973593570608477,0.04362801377726733,0.0826636050516647,False,0.030998851894374235,0.05051664753157281,4.0
000006_2026-02-04,000006,2026-02-04,True,False,True,1_1,4.7261,-3.1876,midweek_partial,True,True,True,-0.01103752759381893,-0.0066225165562914245,-0.008830022075055233,True,0.03532008830022071,-0.001103752759381904,0.004464285714285587,0.007726269315673218,-0.013245033112582849,0.05187637969094916,0,-0.015739769150052263,False,-0.026490066225165587,0.05187637969094916,-0.11699779249448128,0.08719646799116987,True,5.0,0.013245033112582627,0.08609271523178808,0.0033112582781456013,0.04083885209713012,False,-0.008830022075055233,0.009933774834437026,2.0
000006_2026-02-06,000006,2026-02-06,True,False,False,1_0,3.4857,-4.428,completed_week,True,True,True,0.022271714922048824,0.04454342984409809,0.030066815144766057,True,0.04120267260579058,-0.015590200445434355,0.02178649237472774,0.061247216035634544,0.020044543429843964,0.061247216035634544,1,-0.018887722980062915,False,0.020044543429843964,0.061247216035634544,-0.10913140311804015,0.09688195991091297,True,5.0,0.022271714922048824,0.09576837416481054,0.012249443207126953,0.05011135857461024,False,,,
000006_2026-02-10,000006,2026-02-10,True,False,False,1_0,,,tuesday_A,True,True,True,0.00324324324324321,0.0108108108108107,-0.005405405405405239,True,0.019459459459459483,-0.041081081081080995,0.007543103448275801,0.025945945945945903,-0.00432432432432428,0.0637837837837838,0,-0.04166666666666663,False,-0.017297297297297343,0.0637837837837838,-0.1351351351351351,0.06486486486486487,False,,,,,,False,0.019459459459459483,0.0637837837837838,3.0
000006_2026-02-12,000006,2026-02-12,False,False,False,0_0,0.1815,-1.864,midweek_partial,True,True,True,0.0021739130434781373,0.02499999999999991,0.007608695652173703,True,0.05217391304347818,-0.11413043478260876,0.022776572668112616,0.06956521739130417,0.0,0.07065217391304324,0,-0.017258883248730927,False,0.0,0.07065217391304324,-0.1304347826086958,0.07065217391304324,False,,,,,,False,0.02499999999999991,0.06956521739130417,1.0
000006_2026-02-24,000006,2026-02-24,,False,False,0_0,,,tuesday_gate_failed,True,True,True,0.0,0.04422869471413171,0.005393743257821049,True,0.0010787486515642097,-0.07119741100323629,0.04422869471413171,0.06256742179072283,-0.003236245954692518,0.06256742179072283,1,-0.05786802030456861,True,-0.014023732470334282,0.06256742179072283,-0.13915857605177984,0.06256742179072283,True,5.0,-0.023732470334411948,0.005393743257821049,-0.10355987055016169,-0.015102481121898492,False,0.0010787486515642097,0.06256742179072283,3.0
000006_2026-02-26,000006,2026-02-26,False,False,False,0_0,,,midweek_partial,True,True,True,0.0,-0.0042918454935623185,-0.04077253218884125,True,-0.08154506437768239,-0.06866952789699576,-0.0042918454935623185,0.0,-0.01931330472102999,0.0,1,-0.08154506437768239,False,-0.08690987124463523,0.0,-0.14377682403433478,0.02467811158798283,True,5.0,-0.02896995708154504,0.0,-0.10836909871244638,-0.020386266094420513,False,-0.0042918454935623185,0.0,1.0
000006_2026-03-02,000006,2026-03-02,False,False,False,0_0,3.4893,0.766,monday,True,True,True,-0.003355704697986517,-0.042505592841163176,-0.042505592841163176,True,-0.02572706935123026,-0.010067114093959662,-0.03928170594837255,0.010067114093959662,-0.04809843400447422,0.010067114093959662,1,-0.03543743078626782,False,-0.07046979865771796,0.010067114093959662,-0.10738255033557043,0.06823266219239388,True,5.0,0.008948545861297452,0.03020134228187943,-0.03467561521252782,0.010067114093959662,False,0.021252796420581754,0.04250559284116351,4.0
000006_2026-03-04,000006,2026-03-04,False,False,False,0_0,,,midweek_partial,True,True,True,0.01869158878504673,0.017523364485981352,0.06658878504672905,True,0.0338785046728971,0.0981308411214954,-0.0011467889908256534,0.050233644859813076,0.010514018691588856,0.08878504672897192,0,-0.0504291845493563,False,0.004672897196261516,0.08878504672897192,-0.06775700934579443,0.11565420560747675,True,5.0,0.05373831775700921,0.0759345794392523,0.008177570093457875,0.05490654205607459,False,0.06658878504672905,0.08878504672897192,2.0
000006_2026-03-06,000006,2026-03-06,True,False,False,1_0,0.8703,-2.463,completed_week,True,True,True,-0.012048192771084487,-0.030668127053669392,0.0010952902519167917,True,0.0,0.0657174151150055,-0.018847006651884657,-0.00766703176341732,-0.05476451259583792,0.006571741511500306,0,-0.006528835690968293,False,-0.05476451259583792,0.006571741511500306,-0.12595837897042717,0.07338444687842283,True,5.0,-0.012048192771084487,0.008762322015334112,-0.05476451259583792,-0.010952902519167695,False,,,
000006_2026-03-10,000006,2026-03-10,True,True,False,1_1,,,tuesday_B,True,True,True,0.0,-0.001094091903719896,-0.005470459518599591,True,-0.012035010940919189,0.06783369803063444,-0.001094091903719896,0.00547045951859948,-0.01094091903719907,0.007658643326039494,0,-0.019543973941368198,False,-0.020787746170678245,0.007658643326039494,-0.12691466083150982,0.08205689277899353,True,5.0,-0.015317286652078876,0.017505470459518557,-0.03938730853391703,-0.03938730853391703,False,-0.012035010940919189,0.007658643326039494,3.0
000006_2026-03-12,000006,2026-03-12,True,False,False,1_0,0.8918,0.0078,midweek_partial,True,True,True,-0.0066006600660066805,-0.0066006600660066805,0.007700770077007757,True,-0.004400440044004306,0.08690869086908704,0.0,0.013201320132013361,-0.012101210121012063,0.018701870187018743,0,-0.022678185745140245,False,-0.013201320132013139,0.018701870187018743,-0.12211221122112204,0.1045104510451047,True,5.0,-0.00990099009900991,0.02310231023102327,-0.034103410341034146,-0.034103410341034146,False,-0.0066006600660066805,0.013201320132013361,1.0
000006_2026-03-16,000006,2026-03-16,False,False,False,0_0,0.1329,-0.7511,monday,True,True,True,0.0010917030567685337,-0.012008733624454093,0.008733624454148492,True,-0.009825327510917026,0.0021834061135370675,-0.013086150490730586,0.01091703056768556,-0.012008733624454093,0.015283842794759916,0,-0.02473118279569897,False,-0.018558951965065518,0.015283842794759916,-0.12882096069868987,0.09606986899563319,True,5.0,-0.066593886462882,0.042576419213973926,-0.1266375545851528,-0.018558951965065518,False,-0.04148471615720528,0.015283842794759916,4.0
000006_2026-03-18,000006,2026-03-18,True,False,False,1_0,2.5969,2.486,midweek_partial,True,True,True,-0.010822510822510734,-0.018398268398268414,-0.04978354978354993,True,-0.1212121212121211,0.04978354978354993,-0.007658643326039383,0.006493506493506551,-0.027056277056277,0.006493506493506551,1,-0.12688172043010748,False,-0.1341991341991342,0.006493506493506551,-0.13636363636363635,0.08658008658008676,True,5.0,-0.07467532467532467,0.03354978354978355,-0.1341991341991342,-0.027056277056277,False,-0.04978354978354993,0.006493506493506551,2.0
000006_2026-03-20,000006,2026-03-20,False,False,False,0_0,2.2502,2.1393,completed_week,True,True,True,-0.026195899772209374,-0.07517084282460118,-0.038724373576309756,True,0.009111617312072884,0.0751708428246014,-0.05029239766081872,-0.021640091116173044,-0.08883826879271062,0.03530751708428248,0,-0.025302530253025313,True,-0.08883826879271062,0.03530751708428248,-0.09111617312072884,0.14350797266514825,True,5.0,-0.026195899772209374,0.08769931662870167,-0.08883826879271062,0.023917995444191487,False,,,
000006_2026-03-26,000006,2026-03-26,True,False,False,1_0,4.0593,1.6149,midweek_partial,True,True,True,-0.016574585635359185,-0.006629834254143652,-0.023204419889502836,True,-0.04972375690607744,0.14696132596685074,0.010112359550561889,-0.0022099447513813653,-0.027624309392265234,-0.0011049723756906271,0,-0.0486725663716816,False,-0.04972375690607744,-0.0011049723756906271,-0.1182320441988951,0.21436464088397789,True,5.0,-0.020994475138121693,0.013259668508287303,-0.10607734806629843,-0.09944751381215478,False,-0.006629834254143652,-0.0022099447513813653,1.0
000006_2026-03-30,000006,2026-03-30,True,False,False,1_0,3.8759,1.4315,monday,True,True,True,-0.0033936651583709176,-0.02714932126696834,0.0033936651583712507,True,0.009049773755656076,0.09954751131221728,-0.02383654937570956,0.022624434389140413,-0.02714932126696834,0.03733031674208154,0,-0.02726281352235549,True,-0.02714932126696834,0.03733031674208154,-0.09728506787330315,0.24321266968325794,True,4.0,-0.07692307692307687,0.006787330316742057,-0.09728506787330315,-0.018099547511312264,False,-0.07805429864253388,0.03733031674208154,4.0
000007_2026-01-05,000007,2026-01-05,True,False,False,1_0,1.3877,-2.898,monday,True,True,True,0.0008680555555555802,0.0078125,-0.0017361111111110494,True,0.05555555555555558,0.10243055555555558,0.006938421509106618,0.04947916666666674,0.0,0.07291666666666674,0,-0.016181229773462702,False,-0.01041666666666663,0.07291666666666674,-0.07812499999999989,0.12413194444444464,True,5.0,0.0590277777777779,0.07638888888888906,-0.0347222222222221,-0.0190972222222221,False,0.05729166666666674,0.11805555555555558,4.0
000007_2026-01-07,000007,2026-01-07,False,False,False,0_0,0.2854,-0.4188,midweek_partial,True,True,True,0.0,0.05739130434782602,0.05913043478260871,True,0.032173913043478386,0.14434782608695662,0.05739130434782602,0.07478260869565223,-0.006086956521739184,0.1200000000000001,0,-0.07841614906832295,True,-0.006086956521739184,0.1200000000000001,-0.0765217391304347,0.1547826086956523,True,5.0,0.0608695652173914,0.07826086956521738,-0.03304347826086951,-0.017391304347825987,False,0.05913043478260871,0.1200000000000001,2.0
000007_2026-01-09,000007,2026-01-09,True,False,False,1_0,2.7595,2.0553,completed_week,True,True,True,0.0016420361247948545,-0.02545155993431847,-0.04105090311986859,True,-0.054187192118226646,0.10837438423645329,-0.02704918032786885,0.01806239737274229,-0.04269293924466333,0.01806239737274229,1,-0.07096774193548394,False,-0.064039408866995,0.01806239737274229,-0.12807881773399,0.12397372742200319,True,5.0,0.0016420361247948545,0.01806239737274229,-0.0870279146141214,-0.07224958949096871,False,,,
000007_2026-01-13,000007,2026-01-13,True,False,False,1_0,,,tuesday_C,True,True,True,0.0,-0.013698630136986356,-0.0351027397260274,True,-0.03253424657534243,0.12756849315068486,-0.013698630136986356,0.011130136986301498,-0.023972602739726012,0.011130136986301498,1,-0.04318374259102453,False,-0.04794520547945191,0.011130136986301498,-0.09075342465753411,0.1755136986301371,True,5.0,-0.03595890410958902,0.018835616438356295,-0.06678082191780821,-0.011986301369862895,False,-0.03253424657534243,0.011130136986301498,3.0
000007_2026-01-15,000007,2026-01-15,False,False,False,0_0,,,midweek_partial,True,True,True,0.0008873114463177068,0.0026619343389531203,0.00709849157054121,True,-0.02573203194321194,0.17746228926353158,0.0017730496453902678,0.025732031943212164,-0.013309671694764713,0.025732031943212164,1,-0.05017301038062283,False,-0.03105590062111796,0.025732031943212164,-0.05767524401064761,0.21827861579414387,True,5.0,-0.0008873114463175957,0.05590062111801242,-0.03283052351375326,0.023957409050576972,False,0.0026619343389531203,0.025732031943212164,1.0
000007_2026-01-19,000007,2026-01-19,False,True,True,0_1,8.3344,1.8659,monday,True,True,True,0.0,-0.032599118942731264,-0.006167400881057272,True,-0.0008810572687224516,0.24140969162995596,-0.032599118942731264,0.002643171806167466,-0.037885462555066085,0.002643171806167466,1,-0.0035149384885765356,False,-0.03964757709251099,0.002643171806167466,-0.06431718061673997,0.2466960352422909,True,5.0,0.013215859030837107,0.043171806167400906,-0.06431718061673997,-0.04140969162995589,False,0.016740088105726914,0.04845814977973584,4.0
