signal_id,code,date,weekly_passed,sv_legacy,td_legacy,weekly_daily_cell,t_eff,eff_delta,weekday_path,matured_1,matured_2,matured_3,matured_5,matured_10,matured_15,matured_20,overnight_gap,fwd1,mfe1_full,mae1_full,fwd2,mfe2_full,mae2_full,fwd3,mfe3_full,mae3_full,fwd5,mfe5_full,mae5_full,fwd10,mfe10_full,mae10_full,fwd15,mfe15_full,mae15_full,fwd20,mfe20_full,mae20_full,next_day_open_to_close,next_day_high_vs_signal_close,next_day_low_vs_signal_close,peak3_return,peak3_session_offset,giveback_from_peak3,early3_up_then_flat,matured_week,next_week_sessions,next_week_open_gap,next_week_high,next_week_low,next_week_return,matured_week_remaining,week_remaining_return,week_remaining_high,week_remaining_sessions
000006_2026-01-05,000006,2026-01-05,False,False,False,0_0,2.9528,1.5653,monday,True,True,True,True,True,True,True,0.0010277492291881352,0.013360739979444869,0.029804727646454143,-0.0020554984583761593,0.005138746145940232,0.03597122302158273,-0.0020554984583761593,0.019527235354573458,0.03597122302158273,-0.009249743062692661,0.014388489208633226,0.07194244604316546,-0.009249743062692661,-0.05960945529290851,0.07194244604316546,-0.07502569373072976,-0.043165467625899234,0.07194244604316546,-0.07502569373072976,-0.1048304213771839,0.07194244604316546,-0.11613566289825294,0.012320328542094305,0.029804727646454143,-0.0020554984583761593,0.03597122302158273,0,-0.015873015873015928,False,True,5.0,0.02672147995888996,0.043165467625899234,-0.058581706063720485,-0.05344295991778003,False,0.043165467625899234,0.07194244604316546,4.0
000006_2026-01-07,000006,2026-01-07,False,False,False,0_0,,,midweek_partial,True,True,True,True,True,True,True,0.0010224948875257045,0.014314928425357865,0.017382413087934756,-0.014314928425357754,0.03783231083844596,0.06646216768916169,-0.014314928425357754,0.00920245398773023,0.06646216768916169,-0.014314928425357754,-0.03271983640081788,0.06646216768916169,-0.050102249488752415,-0.01329243353783216,0.06646216768916169,-0.07975460122699385,-0.08588957055214719,0.06646216768916169,-0.10633946830265839,-0.0736196319018404,0.06646216768916169,-0.12065439672801637,0.01327885597548506,0.017382413087934756,-0.014314928425357754,0.06646216768916169,0,-0.05369127516778516,True,True,5.0,0.021472392638036908,0.03783231083844596,-0.0633946830265848,-0.05828220858895694,False,0.03783231083844596,0.06646216768916169,2.0
000006_2026-01-09,000006,2026-01-09,True,False,True,1_1,1.5198,0.1323,completed_week,True,True,True,True,True,True,True,-0.015763546798029604,-0.027586206896551668,0.0,-0.0453201970443351,-0.058128078817733964,0.0,-0.06009852216748768,-0.06798029556650242,0.0,-0.08472906403940883,-0.09261083743842358,0.0,-0.09753694581280792,-0.040394088669950756,0.0,-0.11330049261083752,-0.11724137931034473,0.0,-0.15270935960591137,-0.11527093596059113,0.0,-0.15270935960591137,-0.012012012012011963,0.0,-0.0453201970443351,0.0,1,-0.06798029556650242,False,True,5.0,-0.015763546798029604,0.0,-0.09753694581280792,-0.09261083743842358,False,,,
000006_2026-01-13,000006,2026-01-13,,False,False,u_0,,,tuesday_gate_failed,True,True,True,True,True,True,True,-0.003138075313807609,-0.010460251046025104,0.01987447698744771,-0.028242677824267703,-0.026150627615062705,0.01987447698744771,-0.03870292887029303,-0.03661087866108781,0.01987447698744771,-0.04184100418410042,-0.023012552301255318,0.01987447698744771,-0.05857740585774063,-0.06276150627615062,0.05020920502092063,-0.08577405857740583,-0.07112970711297073,0.05020920502092063,-0.10041841004184104,-0.03242677824267792,0.05020920502092063,-0.10041841004184104,-0.007345225603357708,0.01987447698744771,-0.028242677824267703,0.01987447698744771,1,-0.055384615384615254,False,True,5.0,-0.03870292887029303,0.05020920502092063,-0.05857740585774063,0.01882845188284521,False,-0.03661087866108781,0.01987447698744771,3.0
000006_2026-01-15,000006,2026-01-15,False,False,False,0_0,,,midweek_partial,True,True,True,True,True,True,True,0.004296455424274814,-0.010741138560687369,0.029001074113855996,-0.01611170784103122,-0.017185821697099923,0.029001074113855996,-0.03329752953813114,0.0032223415682062218,0.029001074113855996,-0.03329752953813114,0.036519871106337254,0.07841031149301836,-0.03329752953813114,-0.02470461868958118,0.07841031149301836,-0.06337271750805584,-0.03329752953813114,0.07841031149301836,-0.07626208378088084,-0.011815252416756072,0.07841031149301836,-0.07626208378088084,-0.014973262032085488,0.029001074113855996,-0.01611170784103122,0.029001074113855996,1,-0.025052192066805867,False,True,5.0,-0.012889366272824998,0.07841031149301836,-0.03329752953813114,0.04618689581095592,False,-0.010741138560687369,0.029001074113855996,1.0
000006_2026-01-21,000006,2026-01-21,True,False,True,1_1,7.5832,-0.2246,midweek_partial,True,True,True,True,True,True,True,-0.007253886010362698,0.0,0.013471502590673534,-0.03626943005181338,0.00932642487046631,0.013471502590673534,-0.03626943005181338,-0.03523316062176163,0.013471502590673534,-0.03626943005181338,-0.07357512953367884,0.013471502590673534,-0.09430051813471507,-0.061139896373056946,0.013471502590673534,-0.10880829015544047,-0.031088082901554515,0.013471502590673534,-0.10880829015544047,-0.03419689119170988,0.02072538860103612,-0.10880829015544047,0.007306889352818313,0.013471502590673534,-0.03626943005181338,0.013471502590673534,1,-0.04805725971370134,False,True,5.0,0.008290155440414448,0.013471502590673534,-0.10880829015544047,-0.07150259067357512,False,0.00932642487046631,0.013471502590673534,2.0
000006_2026-01-23,000006,2026-01-23,True,True,True,1_1,5.5811,-2.2267,completed_week,True,True,True,True,True,True,True,-0.0010266940451745254,-0.04414784394250515,0.004106776180698102,-0.045174537987679675,-0.08008213552361387,0.004106776180698102,-0.10266940451745377,-0.08213552361396315,0.004106776180698102,-0.10266940451745377,-0.08008213552361387,0.004106776180698102,-0.11704312114989734,-0.07802874743326482,0.004106776180698102,-0.11704312114989734,-0.03182751540041073,0.010266940451745254,-0.11704312114989734,-0.08213552361396315,0.011293634496919891,-0.11704312114989734,-0.043165467625899234,0.004106776180698102,-0.045174537987679675,0.004106776180698102,1,-0.08588957055214719,False,True,5.0,-0.0010266940451745254,0.004106776180698102,-0.11704312114989734,-0.08008213552361387,False,,,
000006_2026-02-02,000006,2026-02-02,False,False,False,0_0,7.3547,-0.559,monday,True,True,True,True,True,True,True,0.013777267508610747,0.019517795637198576,0.021814006888633664,0.00344431687715252,0.04018369690011481,0.042479908151549894,0.00344431687715252,0.03329506314580932,0.048220436280137724,0.00344431687715252,0.07692307692307687,0.09414466130884014,0.00344431687715252,0.06429391504018356,0.12973593570608477,0.00344431687715252,-0.01722158438576349,0.13088404133180243,-0.02296211251435143,0.04936854190585538,0.13088404133180243,-0.04592422502870264,0.005662514156285381,0.021814006888633664,0.00344431687715252,0.048220436280137724,0,-0.01423877327491796,False,True,5.0,0.053960964408725554,0.12973593570608477,0.04362801377726733,0.0826636050516647,False,0.030998851894374235,0.05051664753157281,4.0
000006_2026-02-04,000006,2026-02-04,True,False,True,1_1,7.8768,-0.0369,midweek_partial,True,True,True,True,True,True,True,-0.01103752759381893,-0.0066225165562914245,0.007726269315673218,-0.013245033112582849,-0.008830022075055233,0.009933774834437026,-0.026490066225165587,0.03532008830022071,0.05187637969094916,-0.026490066225165587,0.032008830022074886,0.05187637969094916,-0.026490066225165587,0.028697571743929284,0.08719646799116987,-0.026490066225165587,-0.03863134657836642,0.08719646799116987,-0.08278145695364236,0.0033112582781456013,0.08719646799116987,-0.08278145695364236,0.004464285714285587,0.007726269315673218,-0.013245033112582849,0.05187637969094916,0,-0.015739769150052263,False,True,5.0,0.013245033112582627,0.08609271523178808,0.0033112582781456013,0.04083885209713012,False,-0.008830022075055233,0.009933774834437026,2.0
000006_2026-02-06,000006,2026-02-06,True,False,False,1_0,3.4857,-4.428,completed_week,True,True,True,True,True,True,True,0.022271714922048824,0.04454342984409809,0.061247216035634544,0.020044543429843964,0.030066815144766057,0.061247216035634544,0.020044543429843964,0.04120267260579058,0.061247216035634544,0.020044543429843964,0.05011135857461024,0.09576837416481054,0.012249443207126953,-0.0044543429844099425,0.09688195991091297,-0.017817371937639215,-0.014476614699331924,0.09688195991091297,-0.07461024498886415,0.020044543429843964,0.09688195991091297,-0.07461024498886415,0.02178649237472774,0.061247216035634544,0.020044543429843964,0.061247216035634544,1,-0.018887722980062915,False,True,5.0,0.022271714922048824,0.09576837416481054,0.012249443207126953,0.05011135857461024,False,,,
