code,date,weekday,regime,trend,label,mom_origin,fwd5,fwd10,fwd20,mae10,mfe10,half,date_ts,industry,trend_age,amount_relative_20d,return_realized_5d,hard_gate,age_bin,volume_stagnation,fwd10_industry_peer_median,fwd10_industry_demeaned
603699,2024-11-29,4,mid,ma_bull,pullback_holds,current_week,-0.0175138829560017,-0.0747543784707389,-0.045279794959419,-0.0944041008116189,0.046561298590346,2024H2,2024-11-29,sw_l1:801890,0.0,1.792015,0.014636,True,0-5,True,,
603699,2024-12-02,0,bull,ma_bull,pullback_holds,current_week,-0.0127064803049555,-0.1029224904701398,-0.059720457433291,-0.108852181279119,0.0266836086404067,2024H2,2024-12-02,sw_l1:801890,0.0,1.616961,0.002975,True,0-5,True,-0.0112492599171107,-0.09167323055302909
603699,2024-12-03,1,bull,ma_bull,shrinking_volume_acceleration,current_week,-0.0572614107883818,-0.1078838174273859,-0.0800829875518671,-0.1269709543568465,0.0041493775933609,2024H2,2024-12-03,sw_l1:801890,0.0,0.967269,0.025424,True,0-5,False,0.0444751381215469,-0.1523589555489328
603699,2024-12-04,2,bull,ma_bull,pullback_holds,current_week,-0.0754955714888232,-0.0978490088570224,-0.0843525938422606,-0.112610712779418,0.008435259384226,2024H2,2024-12-04,sw_l1:801890,1.0,0.749052,-0.029723,True,0-5,False,-0.03257490699895495,-0.06527410185806745
603699,2024-12-09,0,bull,ma_bull,shrinking_volume_acceleration,current_week,-0.1141781681304893,-0.0694270179841071,-0.0857381848598912,-0.1237975742367211,0.0,2024H2,2024-12-09,sw_l1:801890,0.0,0.942976,-0.012288,True,0-5,False,,
603699,2024-12-25,2,bull,none,pullback_holds,current_week,-0.0303707012058954,0.0844126842340331,0.1103171058508261,-0.0665475658776239,0.0973648950424297,2024H2,2024-12-25,sw_l1:801890,0.0,0.880943,0.046751,False,0-5,False,0.0340632603406325,0.0503494238934006
603699,2024-12-26,3,bull,none,pullback_holds,current_week,-0.0508093525179856,0.0759892086330933,0.1429856115107912,-0.060251798561151,0.1047661870503595,2024H2,2024-12-26,sw_l1:801890,0.0,0.55652,0.024401,False,0-5,False,-0.1653293231615303,0.2413185317946236
603699,2024-12-27,4,bull,none,pullback_holds,current_week,-0.0484304932735426,0.0336322869955156,0.2304932735426008,-0.0627802690582959,0.1017937219730942,2024H2,2024-12-27,sw_l1:801890,0.0,0.599274,0.033765,False,0-5,False,-0.1491312741312741,0.1827635611267897
603699,2025-01-24,4,mid,ma_bull,two_day_acceleration,current_week,0.0232820127675554,0.0123920390536989,-0.0788584303417198,-0.0157716860683438,0.079609463011641,2025H1,2025-01-24,sw_l1:801890,12.0,1.246815,0.046521,True,6-20,False,-0.1380952380952381,0.150487277148937
603699,2025-03-04,1,mid,ma_bull,two_day_acceleration,current_week,-0.009009009009009,0.0231100665883274,0.1253427340383861,-0.0360360360360361,0.0282021151586369,2025H1,2025-03-04,sw_l1:801890,0.0,1.37572,0.003967,True,0-5,False,0.0529461998292057,-0.029836133240878304
603699,2025-03-05,2,bull,ma_bull,pullback_holds,current_week,-0.0090444357058592,0.03421156114825,0.1305544632324027,-0.0322453794730632,0.0420762878489973,2025H1,2025-03-05,sw_l1:801890,0.0,0.696968,0.012341,True,0-5,False,0.0537275803722504,-0.019516019224000404
603699,2025-03-06,3,bull,ma_bull,pullback_holds,current_week,0.0015980823012384,0.0539352776667998,0.0551338393927287,-0.0167798641630044,0.0607271274470635,2025H1,2025-03-06,sw_l1:801890,0.0,1.037306,0.008065,True,0-5,False,0.069078947368421,-0.015143669701621204
603699,2025-03-07,4,bull,ma_bull,pullback_holds,current_week,-0.0043478260869564,0.0462450592885375,-0.0604743083003953,-0.0272727272727273,0.0703557312252964,2025H1,2025-03-07,sw_l1:801890,0.0,0.803592,0.03276,True,0-5,False,0.042754117754117596,0.0034909415344199016
