trend,n,fwd5_med,fwd10_med,fwd20_med,fwd10_mean,mae10_med,mfe10_med,mfe_mae_ratio
ma_bull,7492.0,-0.0028,-0.0034,-0.0077,0.0085,-0.0487,0.0552,1.1338
macd_cross,507.0,-0.0068,0.0,-0.0067,0.0066,-0.0455,0.0462,1.016
macd_stabilizing,816.0,0.002,0.01,0.0083,0.01,-0.0292,0.0404,1.384
none,10609.0,-0.0007,-0.0005,-0.0025,0.0063,-0.0404,0.0447,1.1056
