code,date,weekday,regime,trend,label,mom_origin,fwd5,fwd10,fwd20,mae10,mfe10,half
603699,2023-03-09,3,mid,ma_bull,two_day_acceleration,current_week,0.18889809444904726,0.07042253521126751,0.013256006628003414,-0.030654515327257603,0.259320629660315,2023H1
603699,2023-03-13,0,mid,ma_bull,two_day_acceleration,current_week,0.08681408681408675,0.015561015561015523,0.03276003276003259,-0.014742014742014753,0.24488124488124496,2023H1
603699,2023-04-28,4,bull,ma_bull,shrinking_volume_acceleration,current_week,-0.056834532374100744,-0.03093525179856116,0.03597122302158273,-0.08561151079136686,0.033812949640287915,2023H1
603699,2023-05-22,0,mid,ma_bull,two_day_acceleration,current_week,0.043754410726887905,0.0028228652081863093,-0.031051517290049402,-0.034580098800282344,0.056457304163726185,2023H1
603699,2023-06-20,1,mid,ma_bull,shrinking_volume_acceleration,current_week,0.045454545454545414,0.02059659090909105,0.07883522727272729,-0.03977272727272729,0.07457386363636376,2023H1
603699,2023-08-07,0,bull,ma_bull,shrinking_volume_acceleration,current_week,-0.021088435374149728,-0.036054421768707545,0.02857142857142847,-0.054421768707483054,0.015646258503401178,2023H2
603699,2023-09-11,0,mid,macd_stabilizing,pullback_holds,current_week,-0.007397444519166241,0.0020174848688634395,-0.02286482851378613,-0.03765971755211839,0.059179556153328816,2023H2
603699,2023-09-14,3,mid,none,pullback_holds,current_week,-0.031735313977042545,0.03241053342336264,-0.05874409182984475,-0.033760972316002724,0.03646185010128278,2023H2
603699,2023-11-20,0,mid,none,two_day_acceleration,current_week,-0.02214285714285713,-0.024285714285714244,-0.03857142857142848,-0.04499999999999993,0.0035714285714285587,2023H2
603699,2023-11-21,1,mid,none,pullback_holds,current_week,0.018922852983988436,-0.02765647743813693,-0.0181950509461426,-0.02765647743813693,0.022561863173216956,2023H2
603699,2023-11-23,3,mid,none,pullback_holds,current_week,-0.0021897810218979297,-0.025547445255474588,0.007299270072992581,-0.04452554744525561,0.025547445255474477,2023H2
603699,2024-05-20,0,bull,ma_bull,two_day_acceleration,current_week,0.011616650532429995,-0.04065827686350432,-0.10116166505324298,-0.048886737657308665,0.014036786060019235,2024H1
603699,2024-06-04,1,mid,ma_bull,pullback_holds,current_week,-0.061850569025235,-0.10935180603661554,-0.17812963879267696,-0.11281543790202875,0.002968827313211131,2024H1
603699,2024-09-24,1,mid,macd_stabilizing,two_day_acceleration,current_week,0.1877984084880635,0.14641909814323606,0.24244031830238733,-0.023342175066313087,0.2541114058355436,2024H2
603699,2024-09-25,2,bull,macd_stabilizing,pullback_holds,current_week,0.17030335284725928,0.14741883980840864,0.22511974454497086,-0.020223523150611933,0.2581160191591272,2024H2
603699,2024-09-26,3,bull,macd_stabilizing,pullback_holds,current_week,0.15498938428874753,0.1443736730360934,0.17569002123142252,-0.0031847133757960666,0.2547770700636942,2024H2
603699,2024-10-24,3,bull,ma_bull,two_day_acceleration,current_week,-0.03695652173913033,0.06956521739130439,0.03086956521739137,-0.0534782608695652,0.08913043478260874,2024H2
603699,2024-11-25,0,mid,ma_bull,pullback_holds,current_week,0.005110732538330609,-0.007240204429301622,-0.05238500851788763,-0.05877342419080067,0.049403747870528036,2024H2
603699,2024-11-26,1,mid,ma_bull,pullback_holds,current_week,0.028037383177570208,-0.034834324553950746,-0.028887000849617706,-0.061172472387425514,0.04672897196261694,2024H2
603699,2024-11-29,4,mid,ma_bull,pullback_holds,current_week,-0.01751388295600176,-0.07475437847073896,-0.04527979495941903,-0.09440410081161899,0.04656129859034608,2024H2
603699,2024-12-02,0,bull,ma_bull,pullback_holds,current_week,-0.01270648030495558,-0.1029224904701398,-0.05972045743329102,-0.108852181279119,0.026683608640406753,2024H2
603699,2024-12-03,1,bull,ma_bull,shrinking_volume_acceleration,current_week,-0.05726141078838187,-0.10788381742738595,-0.08008298755186716,-0.12697095435684658,0.004149377593360981,2024H2
603699,2024-12-04,2,bull,ma_bull,pullback_holds,current_week,-0.07549557148882324,-0.09784900885702241,-0.08435259384226068,-0.11261071277941803,0.008435259384226068,2024H2
603699,2024-12-09,0,bull,ma_bull,shrinking_volume_acceleration,current_week,-0.11417816813048931,-0.06942701798410711,-0.08573818485989126,-0.12379757423672111,0.0,2024H2
603699,2024-12-25,2,bull,none,pullback_holds,current_week,-0.030370701205895467,0.08441268423403314,0.1103171058508261,-0.0665475658776239,0.09736489504242973,2024H2
603699,2024-12-26,3,bull,none,pullback_holds,current_week,-0.050809352517985684,0.07598920863309333,0.14298561151079126,-0.06025179856115104,0.10476618705035956,2024H2
603699,2024-12-27,4,bull,none,pullback_holds,current_week,-0.04843049327354265,0.03363228699551568,0.23049327354260085,-0.06278026905829592,0.10179372197309422,2024H2
603699,2025-01-24,4,mid,ma_bull,two_day_acceleration,current_week,0.023282012767555482,0.0123920390536989,-0.0788584303417198,-0.015771686068343893,0.07960946301164107,2025H1
603699,2025-03-04,1,mid,ma_bull,two_day_acceleration,current_week,-0.009009009009009028,0.023110066588327483,0.12534273403838614,-0.03603603603603611,0.02820211515863691,2025H1
603699,2025-03-05,2,bull,ma_bull,pullback_holds,current_week,-0.009044435705859222,0.03421156114825008,0.13055446323240272,-0.032245379473063274,0.04207628784899731,2025H1
603699,2025-03-06,3,bull,ma_bull,pullback_holds,current_week,0.0015980823012384793,0.05393527766679984,0.055133839392728756,-0.016779864163004476,0.060727127447063545,2025H1
603699,2025-03-07,4,bull,ma_bull,pullback_holds,current_week,-0.004347826086956497,0.046245059288537504,-0.06047430830039535,-0.027272727272727337,0.07035573122529648,2025H1
603699,2025-03-10,0,bull,ma_bull,two_day_acceleration,current_week,-0.02468652037617547,0.0607366771159874,-0.11285266457680243,-0.03565830721003138,0.07170846394984332,2025H1
603699,2025-03-11,1,bull,ma_bull,pullback_holds,current_week,0.03281929616449197,0.08461842625543703,-0.11111111111111105,-0.026888098062475274,0.10359826018189011,2025H1
603699,2025-03-24,0,mid,none,two_day_acceleration,current_week,0.022785740536567456,-0.16795295847115033,-0.10216832047041535,-0.19845644983461974,0.08416023520764426,2025H1
603699,2025-03-27,3,mid,none,shrinking_volume_acceleration,current_week,-0.03295496155254496,-0.10252654705236175,0.0007323324789454411,-0.2013914317099964,0.0801904064445258,2025H1
603699,2025-04-01,1,mid,macd_cross,two_day_acceleration,current_week,-0.21944444444444444,-0.18298611111111107,-0.07013888888888886,-0.24270833333333341,0.02430555555555558,2025H1
603699,2025-05-07,2,bull,none,shrinking_volume_acceleration,current_week,0.02739726027397249,0.07663828211773427,0.24435394298407997,-0.007774898185857082,0.0936690114772305,2025H1
603699,2025-05-08,3,bull,none,shrinking_volume_acceleration,current_week,0.012773722627737127,0.07956204379562037,0.22481751824817509,-0.004014598540146075,0.08467153284671514,2025H1
603699,2025-05-09,4,bull,none,shrinking_volume_acceleration,current_week,-0.00285612281328107,0.06854694751874324,0.2277757943591574,-0.01749375223134597,0.07925740806854686,2025H1
603699,2025-05-20,1,bull,ma_bull,shrinking_volume_acceleration,current_week,0.058761435608726265,0.1798029556650247,0.19282195636875432,-0.003166783954961283,0.1843771991555243,2025H1
603699,2025-05-21,2,bull,ma_bull,two_day_acceleration,current_week,0.07253351667239594,0.15537985562048817,0.13441045032657262,-0.005156411137848038,0.1663801993812306,2025H1
603699,2025-06-11,2,bull,ma_bull,shrinking_volume_acceleration,current_week,0.008928571428571397,-0.03303571428571428,-0.09464285714285714,-0.06101190476190477,0.03541666666666665,2025H1
603699,2025-06-18,2,bull,ma_bull,pullback_holds,current_week,-0.04300441826215029,-0.09808541973490437,-0.11605301914580268,-0.1184094256259206,0.004418262150220897,2025H1
603699,2025-07-04,4,bull,ma_bull,pullback_holds,current_week,-0.04596592735454841,-0.03664416586306651,-0.05625200900032146,-0.06460945033751198,0.004178720668595481,2025H2
603699,2025-07-16,2,bull,none,pullback_holds,current_week,-0.015686274509803977,-0.05228758169934644,0.07843137254901955,-0.05718954248366015,0.030065359477124076,2025H2
603699,2025-07-17,3,bull,none,pullback_holds,current_week,-0.03218390804597704,-0.05287356321839076,0.07553366174055842,-0.05517241379310345,0.035139573070607666,2025H2
603699,2025-07-18,4,bull,none,pullback_holds,current_week,-0.008316699933466398,-0.02328675981370598,0.09980039920159678,-0.04624085163007319,0.04856952761144373,2025H2
603699,2025-07-22,1,bull,none,two_day_acceleration,current_week,-0.06725888324873086,0.03680203045685282,0.0466370558375635,-0.09041878172588824,0.05742385786802018,2025H2
603699,2025-07-23,2,bull,none,pullback_holds,current_week,-0.03941702550513415,0.10102683007618429,0.09804571050016553,-0.050347797283868845,0.13481285193772763,2025H2
603699,2025-08-20,2,bull,ma_bull,pullback_holds,current_week,-0.03165511003919219,0.03346397347000307,0.12722339463370513,-0.03497135966234566,0.0823032861018993,2025H2
